,age,attrition,businesstravel,dailyrate,department,education,educationfield,employeecount,employeenumber,distancefromhome(miles)
77,37,No,travel_rarely,1032.49,,3,life sciences,1,78,10
78,30,No,,556.26,,3,,1,79,2
79,58,No,travel_rarely,1431.24,,4,,1,80,18
80,34,No,travel_rarely,1032.49,,3,,1,81,5
81,58,Yes,travel_rarely,1032.49,,4,medical,1,82,23
82,38,No,,1032.49,,3,life sciences,1,83,3
83,29,No,travel_frequently,1032.49,,1,,1,84,1
84,55,No,travel_rarely,1964.96,,3,medical,1,85,1
85,41,No,,1652.34,,4,,1,86,10
86,39,No,travel_rarely,991.82,research & development,3,,1,87,1
87,38,No,,1187.54,,2,life sciences,1,88,15
88,43,No,,1582.77,,3,,1,89,12
89,31,No,,444.27,,2,,1,90,30
90,50,No,travel_rarely,1758.71,research & development,4,life sciences,1,91,27
91,35,No,,1032.49,,3,technical degree,1,92,25
92,47,No,,522.79,,4,,1,93,16
93,35,No,,1032.49,research & development,4,,1,94,25
94,40,No,travel_rarely,1032.49,,4,,1,95,20
95,45,No,,556.26,sales,4,life sciences,1,96,9
96,33,No,,290.04,research & development,3,medical,1,97,9
97,36,No,travel_frequently,380.92,,3,,1,98,3
98,45,Yes,,1973.98,,3,marketing,1,99,13
99,51,No,travel_frequently,2047.71,,3,,1,100,27
100,34,No,travel_rarely,238.13,,2,technical degree,1,101,7
101,43,No,travel_rarely,1582.77,research & development,2,,1,102,15
102,34,No,,556.26,,2,medical,1,103,5
103,38,No,,290.04,,3,,1,104,2
104,48,No,,1973.98,,3,,1,105,10
105,34,No,,592.94,research & development,4,other,1,106,22
106,32,No,travel_rarely,1075.29,,4,,1,107,31
107,29,No,travel_rarely,1032.49,,4,life sciences,1,108,21
108,46,No,,1032.49,,3,medical,1,109,1
109,30,No,,654.85,human resources,3,,1,110,9
110,45,No,,242.25,,3,life sciences,1,111,9
111,30,No,travel_rarely,1032.49,,3,,1,112,5
112,30,No,,316.95,,3,,1,113,9
113,34,No,travel_frequently,556.26,,1,,1,114,29
114,51,No,travel_rarely,1288.65,,4,life sciences,1,115,8
115,34,No,,556.26,,4,life sciences,1,116,39
116,35,No,travel_rarely,827.46,,3,,1,117,16
117,45,No,travel_frequently,1032.49,,3,life sciences,1,118,7
118,39,No,,1760.98,,1,,1,119,10
119,31,No,,922.69,,2,,1,120,7
120,39,No,,1988.38,research & development,2,,1,121,7
121,45,No,travel_rarely,556.26,,4,,1,122,8
122,30,No,travel_rarely,556.26,sales,3,marketing,1,123,5
123,31,No,,1032.49,,4,medical,1,124,7
124,36,No,,1032.49,,4,medical,1,125,3
125,36,No,travel_rarely,1032.49,,2,,1,126,2
126,55,No,travel_rarely,1582.77,,5,,1,127,18
127,35,No,,556.26,,3,,1,128,1
128,42,No,travel_rarely,1032.49,,3,medical,1,129,24
129,52,No,travel_rarely,575.4,,2,,1,130,6
130,49,No,,1973.98,,4,life sciences,1,131,18
131,34,No,travel_rarely,277.64,research & development,5,,1,132,1
132,33,Yes,travel_rarely,290.04,,4,other,1,133,1
133,33,No,,1032.49,research & development,3,medical,1,134,7
134,53,No,travel_rarely,1582.77,,4,,1,135,23
135,49,No,travel_rarely,763.8,,2,other,1,136,8
136,35,No,,1032.49,,4,,1,137,21
137,38,No,travel_rarely,910.31,,1,life sciences,1,138,17
138,46,No,,1582.77,sales,1,marketing,1,139,3
139,36,No,non-travel,556.26,,4,,1,140,18
140,42,Yes,travel_frequently,1582.77,,3,life sciences,1,141,15
141,34,No,travel_frequently,556.26,,3,,1,142,1
142,30,No,travel_rarely,369.26,research & development,3,medical,1,143,1
143,54,No,travel_rarely,1834.34,,3,life sciences,1,144,3
144,31,No,travel_rarely,556.26,,3,medical,1,145,24
145,44,No,,1879.12,,3,,1,146,5
146,55,No,non-travel,1400.8,,1,,1,147,8
147,44,No,travel_rarely,1979.92,,2,life sciences,1,148,4
148,34,No,travel_frequently,556.26,human resources,3,life sciences,1,149,11
149,39,No,,1766.66,,4,,1,150,13
150,55,No,travel_rarely,1979.61,,2,medical,1,151,2
151,51,No,,1582.77,,3,life sciences,1,152,5
152,58,Yes,,1032.57,,4,medical,1,153,14
153,48,No,,1032.49,,3,life sciences,1,154,4
154,29,No,travel_rarely,824.16,human resources,3,,1,155,17
155,34,No,,556.26,,3,other,1,156,3
156,42,No,travel_frequently,290.04,,2,,1,157,9
157,57,No,travel_rarely,556.26,,2,life sciences,1,158,1
158,34,Yes,travel_rarely,556.26,,4,,1,159,24
159,54,No,travel_frequently,1582.77,,4,medical,1,160,11
160,34,No,travel_rarely,730.79,,3,,1,161,1
161,29,No,,487.29,,1,medical,1,162,3
162,35,No,travel_rarely,351.52,,3,life sciences,1,163,28
163,35,Yes,,556.26,,4,other,1,164,12
164,34,No,travel_rarely,302.2,,3,life sciences,1,165,19
165,43,No,,556.26,,3,,1,166,2
166,58,No,non-travel,1582.77,,3,medical,1,167,2
167,36,No,travel_rarely,556.26,sales,4,,1,168,14
168,43,No,travel_rarely,1032.49,,3,life sciences,1,169,11
169,55,No,,1973.98,,4,human resources,1,170,26
170,42,No,,556.26,research & development,2,,1,171,23
171,40,No,,556.26,,3,technical degree,1,172,11
172,56,Yes,,290.04,research & development,2,technical degree,1,173,7
173,39,No,travel_rarely,1241.29,,1,marketing,1,174,33
174,53,No,travel_rarely,1591.67,,4,life sciences,1,175,2
175,27,No,travel_frequently,1032.49,,3,,1,176,8
176,30,No,travel_frequently,556.26,,2,,1,177,1
177,35,No,,1032.49,,5,life sciences,1,178,18
178,32,No,travel_rarely,635.76,research & development,3,medical,1,179,1
179,30,No,travel_rarely,528.87,,1,life sciences,1,180,1
180,46,Yes,,992.44,sales,2,medical,1,181,9
181,30,No,travel_rarely,556.26,,2,,1,182,4
182,32,No,,516.9,,4,,1,183,6
183,35,No,travel_rarely,1032.49,,5,marketing,1,184,37
184,32,No,,1032.49,,3,marketing,1,185,8
185,41,No,travel_rarely,290.04,research & development,3,life sciences,1,186,34
186,40,No,travel_rarely,1963.72,,1,medical,1,187,4
187,45,No,,1582.77,,2,,1,188,2
188,32,Yes,travel_rarely,1073.02,,4,,1,189,4
189,30,No,non-travel,1032.49,research & development,1,life sciences,1,190,1
190,37,No,,1032.49,,3,,1,191,11
191,37,No,,288.17,,4,,1,192,4
192,40,No,,556.26,,2,technical degree,1,193,24
193,36,No,non-travel,585.41,,4,,1,194,24
194,32,No,travel_rarely,556.26,,3,life sciences,1,195,7
195,38,No,,1032.49,,2,life sciences,1,196,25
196,30,No,travel_rarely,556.26,,2,,1,197,28
197,39,No,,1980.64,,1,,1,198,1
198,60,No,,1973.98,,3,life sciences,1,199,7
199,30,No,,867.9,,4,other,1,200,22
200,31,No,travel_rarely,1032.49,research & development,1,,1,201,9
201,33,Yes,,345.43,,3,life sciences,1,202,3
202,50,No,,290.04,,1,medical,1,203,28
203,32,No,,547.75,research & development,4,life sciences,1,204,24
204,42,No,,556.26,,3,,1,205,29
205,49,Yes,,789.7,sales,3,marketing,1,206,11
206,27,No,,1321.46,,1,,1,207,5
207,33,No,travel_rarely,556.26,,3,medical,1,208,1
208,52,No,,1582.77,research & development,4,,1,209,26
209,32,No,,556.26,,2,life sciences,1,210,5
210,36,No,,679.51,,1,life sciences,1,211,14
211,31,No,non-travel,556.26,sales,2,,1,212,20
212,36,No,travel_rarely,259.9,,4,medical,1,213,2
213,52,No,,1764.18,,2,life sciences,1,214,1
214,33,No,non-travel,1582.77,,3,,1,215,17
215,45,No,non-travel,556.26,,2,life sciences,1,216,23
216,36,No,travel_rarely,1032.49,research & development,5,,1,217,12
217,49,No,,1353.65,,4,,1,218,8
218,29,Yes,,1032.49,,1,,1,219,23
219,29,No,,323.04,,1,,1,220,6
220,37,No,,556.26,research & development,3,life sciences,1,221,1
221,33,No,travel_rarely,1032.49,,5,,1,222,10
222,34,No,travel_frequently,458.51,,3,medical,1,223,19
223,28,No,non-travel,688.59,,3,,1,224,1
224,31,No,non-travel,1016.48,,4,,1,225,2
225,42,No,non-travel,1842.8,,1,life sciences,1,226,2
226,40,No,travel_rarely,556.26,,3,life sciences,1,227,2
227,34,No,,556.26,,2,medical,1,228,15
228,58,No,travel_rarely,1973.98,,3,,1,229,1
229,31,Yes,travel_frequently,768.24,,5,,1,230,1
230,40,No,non-travel,1419.37,,1,,1,231,8
231,53,No,,1712.49,,3,medical,1,232,2
232,34,No,,1582.77,research & development,3,,1,233,15
233,35,No,travel_rarely,1032.49,,3,life sciences,1,234,16
234,37,No,,442.1,,3,,1,235,13
235,42,No,travel_frequently,1044.54,,3,,1,236,2
236,45,No,,1032.49,,4,,1,237,1
237,30,Yes,travel_rarely,1002.24,,3,,1,238,1
238,38,No,travel_rarely,1023.9,,3,life sciences,1,239,14
239,50,No,,1160.2,,5,medical,1,240,20
240,39,No,travel_rarely,316.64,,2,,1,241,3
241,34,No,travel_rarely,556.26,,3,,1,242,3
242,54,No,travel_rarely,1582.77,research & development,5,,1,243,22
243,41,No,travel_rarely,953.44,,3,marketing,1,244,6
244,39,No,,667.75,,3,life sciences,1,245,1
245,40,No,travel_rarely,1973.98,,4,,1,246,7
246,33,No,,315.2,,3,technical degree,1,247,4
247,36,No,,858.52,,3,life sciences,1,248,10
248,33,No,,324.28,,4,life sciences,1,249,8
249,34,No,travel_rarely,556.26,,2,,1,250,8
250,29,No,travel_frequently,290.04,research & development,1,medical,1,251,46
251,46,No,travel_rarely,885.03,,2,life sciences,1,252,2
252,27,No,travel_rarely,556.26,,1,medical,1,253,23
253,31,No,,433.02,,3,life sciences,1,254,36
254,45,No,travel_rarely,556.26,research & development,2,life sciences,1,255,25
255,34,No,travel_rarely,1020.19,,3,marketing,1,256,1
256,31,No,,556.26,research & development,3,life sciences,1,257,1
257,35,No,,556.26,,4,,1,258,7
258,39,No,travel_rarely,1376.45,,4,marketing,1,259,15
259,40,No,travel_rarely,585.72,,2,marketing,1,260,2
260,30,No,travel_rarely,290.04,,2,medical,1,261,1
261,47,No,,1032.49,research & development,1,,1,262,1
262,52,No,non-travel,290.04,,4,,1,263,29
263,49,No,travel_frequently,556.26,,1,,1,264,8
264,33,No,travel_frequently,300.13,,4,life sciences,1,265,19
265,32,No,,290.04,,2,life sciences,1,266,2
266,38,No,travel_frequently,982.84,research & development,3,,1,267,23
267,36,No,travel_rarely,556.26,research & development,3,medical,1,268,27
268,42,No,,704.17,,4,,1,269,8
269,31,No,,556.26,research & development,4,life sciences,1,270,7
270,31,No,travel_rarely,456.44,,4,,1,271,8
271,51,No,,561.37,,4,marketing,1,272,21
272,34,Yes,travel_frequently,626.68,,3,,1,273,7
273,36,No,,1032.49,,2,technical degree,1,274,11
274,30,No,travel_frequently,290.04,,3,,1,275,23
275,33,No,non-travel,634.11,,2,,1,276,12
276,31,Yes,,636.79,,4,life sciences,1,277,6
277,41,No,travel_rarely,1032.49,,1,,1,278,23
278,26,No,travel_rarely,290.04,,1,,1,279,25
279,32,No,,481.62,,2,,1,280,9
280,40,No,travel_frequently,578.29,,3,,1,281,26
281,53,No,travel_rarely,556.26,sales,2,marketing,1,282,6
282,29,No,non-travel,445.61,research & development,1,technical degree,1,283,1
283,36,No,travel_frequently,290.04,research & development,2,,1,284,3
284,33,No,travel_rarely,290.04,research & development,3,,1,285,14
285,51,No,travel_rarely,1582.77,,3,,1,286,3
286,27,No,travel_rarely,290.04,,3,medical,1,287,9
287,37,No,,367.71,,3,life sciences,1,288,21
288,38,No,,645.98,,3,,1,289,29
289,49,No,non-travel,702.0,,4,,1,290,18
290,27,No,,556.26,,3,life sciences,1,291,20
291,45,No,,1032.49,sales,3,medical,1,292,6
292,35,No,,1032.49,,3,,1,293,1
293,33,Yes,travel_rarely,290.04,,2,,1,294,2
294,52,No,,1973.98,,4,life sciences,1,295,2
295,40,No,,2005.3,research & development,2,medical,1,296,2
296,38,No,non-travel,556.26,sales,2,life sciences,1,297,2
297,46,No,,1582.77,,3,,1,298,27
298,45,No,travel_rarely,1582.77,,2,medical,1,299,20
299,47,Yes,non-travel,1032.49,,4,life sciences,1,300,10
300,35,No,,1032.49,,3,life sciences,1,301,22
301,29,No,travel_frequently,556.26,,2,,1,302,2
302,55,No,travel_rarely,556.26,research & development,2,technical degree,1,303,20
303,26,Yes,travel_rarely,601.3,,4,,1,304,45
304,31,No,travel_rarely,556.26,,3,technical degree,1,305,7
305,43,No,travel_frequently,253.29,,4,life sciences,1,306,10
306,31,No,travel_rarely,556.26,,3,marketing,1,307,13
307,32,No,,521.55,,4,medical,1,308,2
308,33,No,,483.06,,3,,1,309,10
309,43,No,travel_frequently,542.39,research & development,4,life sciences,1,310,10
310,29,Yes,travel_rarely,218.63,,4,,1,311,8
311,27,No,,556.26,sales,4,,1,312,8
312,29,No,travel_rarely,556.26,,1,,1,313,10
313,37,No,,616.37,,3,medical,1,314,6
314,26,No,travel_rarely,556.26,,3,,1,315,1
315,40,No,travel_rarely,290.04,,4,life sciences,1,316,10
316,41,Yes,,556.26,,3,,1,317,4
317,51,No,travel_rarely,556.26,,2,,1,318,14
318,37,No,,313.03,,3,,1,319,14
319,56,No,,1363.14,,3,life sciences,1,320,6
320,41,No,travel_rarely,865.84,sales,3,marketing,1,321,1
321,46,No,,556.26,,3,medical,1,322,18
322,30,No,non-travel,290.04,,3,,1,323,2
323,35,No,travel_rarely,1032.49,,3,life sciences,1,324,16
324,48,No,travel_rarely,417.96,,5,,1,325,2
325,45,No,travel_rarely,495.75,,3,other,1,326,2
326,26,Yes,travel_frequently,282.8,,4,life sciences,1,327,17
327,41,No,,556.26,,4,other,1,328,2
328,34,No,,550.64,,4,,1,329,21
329,31,No,travel_rarely,556.26,,4,medical,1,330,6
330,43,No,travel_frequently,556.26,,5,,1,331,9
331,53,No,,556.26,sales,1,,1,332,1
332,37,No,travel_rarely,973.35,,3,other,1,333,3
333,54,No,,1032.49,,4,,1,334,19
334,38,No,travel_rarely,556.26,sales,4,marketing,1,335,7
335,29,No,,290.04,research & development,4,life sciences,1,336,1
336,34,No,,1032.49,,3,medical,1,337,9
337,39,No,,556.26,,4,technical degree,1,338,2
338,32,No,,556.73,,3,marketing,1,339,10
339,38,No,travel_rarely,556.26,,4,life sciences,1,340,1
340,27,No,travel_rarely,1032.49,,2,life sciences,1,341,1
341,32,No,travel_rarely,1151.33,,2,life sciences,1,342,3
342,47,No,,511.75,,4,marketing,1,343,35
343,27,No,travel_frequently,907.21,,2,,1,344,10
344,41,No,,1979.82,,3,,1,345,1
345,28,Yes,,228.63,research & development,2,,1,346,35
346,36,No,,1208.48,research & development,3,,1,347,8
347,30,No,,547.24,,5,marketing,1,348,27
348,56,No,travel_rarely,1145.55,,3,,1,349,9
349,45,No,travel_rarely,684.25,,2,,1,350,2
350,36,No,non-travel,782.79,,4,,1,351,8
351,29,No,,447.26,,3,medical,1,352,27
352,38,No,,616.98,,4,life sciences,1,353,2
353,40,No,,437.87,,2,medical,1,354,13
354,42,No,travel_frequently,1973.98,,3,,1,355,8
355,36,No,travel_rarely,539.4,,3,other,1,356,1
356,29,No,travel_rarely,278.57,,2,,1,357,23
357,55,Yes,,556.26,,1,medical,1,358,2
358,28,No,,556.26,sales,4,,1,359,2
359,26,Yes,,244.11,,2,medical,1,360,5
360,44,No,,290.04,,2,,1,361,9
361,41,Yes,,290.04,research & development,4,life sciences,1,362,2
362,31,No,travel_rarely,240.29,,4,,1,363,7
363,26,No,travel_frequently,443.03,sales,3,medical,1,364,28
364,31,No,,556.26,,3,medical,1,365,12
365,32,No,,693.85,,4,medical,1,366,3
366,36,Yes,travel_rarely,1065.28,,1,life sciences,1,367,3
367,45,No,non-travel,458.82,,2,,1,368,47
368,39,No,travel_rarely,1032.49,,5,,1,369,2
369,36,No,non-travel,556.26,,4,technical degree,1,370,8
370,46,No,,1118.93,,2,medical,1,371,7
371,54,No,travel_rarely,1032.49,,3,technical degree,1,372,17
372,30,No,travel_rarely,1032.49,,2,,1,373,8
373,26,No,,564.57,,2,medical,1,374,2
374,55,No,travel_frequently,658.77,,4,medical,1,375,18
375,50,No,non-travel,654.85,sales,3,life sciences,1,376,1
376,32,No,non-travel,290.04,,4,,1,377,29
377,53,No,travel_frequently,776.39,,3,marketing,1,378,2
378,40,No,travel_rarely,556.26,,3,,1,379,26
379,55,No,,1582.77,,1,,1,380,2
380,28,Yes,non-travel,1032.49,,2,,1,381,24
381,28,No,travel_rarely,377.62,,3,other,1,382,10
382,35,Yes,,1032.49,,3,technical degree,1,383,4
383,33,Yes,travel_frequently,556.26,research & development,4,medical,1,384,36
384,25,Yes,,290.04,research & development,1,technical degree,1,385,4
385,38,No,,901.75,sales,4,,1,386,10
386,28,No,,1032.49,,3,,1,387,12
387,43,No,travel_frequently,1032.49,,3,life sciences,1,388,27
388,39,Yes,travel_frequently,1582.77,research & development,3,life sciences,1,389,2
389,40,No,travel_rarely,1973.98,,3,,1,390,14
390,29,No,travel_rarely,556.26,,1,medical,1,391,8
391,40,No,,1392.75,,4,,1,392,32
392,26,No,travel_rarely,290.04,,4,,1,393,3
393,35,No,travel_rarely,1032.49,,3,,1,394,2
394,53,No,,1973.98,research & development,2,medical,1,395,7
395,35,No,,556.26,,4,life sciences,1,396,17
396,33,No,,556.26,,3,medical,1,397,25
397,36,No,,290.04,research & development,4,life sciences,1,398,6
398,30,No,travel_rarely,360.18,,4,life sciences,1,399,7
399,60,No,,538.57,,4,,1,400,29
400,32,No,,556.26,,2,life sciences,1,401,2
401,36,No,,1057.75,,3,technical degree,1,402,1
402,27,No,travel_rarely,290.04,,3,,1,403,14
403,43,No,,2036.67,research & development,3,life sciences,1,404,3
404,29,No,travel_rarely,1582.77,,3,,1,405,1
405,59,No,,1032.49,,4,,1,406,24
406,43,No,travel_rarely,1032.49,,4,marketing,1,407,4
407,44,Yes,travel_rarely,1032.49,,3,medical,1,408,15
408,29,Yes,,290.04,research & development,3,technical degree,1,409,7
409,32,No,travel_rarely,640.61,,3,,1,410,8
410,36,No,travel_rarely,731.92,,4,technical degree,1,411,10
411,52,Yes,,1032.49,sales,3,,1,412,5
412,39,No,travel_rarely,467.79,,2,,1,413,33
413,34,No,,876.98,,3,,1,414,9
414,38,No,,556.26,,2,life sciences,1,415,2
415,36,No,travel_frequently,478.63,sales,3,marketing,1,416,12
416,35,No,,553.33,,3,,1,417,1
417,55,Yes,,1582.77,,4,,1,418,13
418,34,No,,556.26,,3,,1,419,29
419,43,No,,421.06,,3,medical,1,420,6
420,42,No,travel_rarely,1582.77,,3,human resources,1,421,10
421,26,No,travel_rarely,369.16,,3,,1,422,7
422,29,Yes,,1032.49,,1,other,1,423,14
423,54,No,,1787.81,research & development,3,,1,424,1
424,55,No,,1582.77,,4,,1,425,1
425,40,No,non-travel,556.26,,4,other,1,426,9
426,31,No,,1113.56,,2,,1,427,8
427,46,Yes,,1032.49,,3,marketing,1,428,9
428,45,No,travel_rarely,1119.55,,3,medical,1,429,20
429,49,No,travel_rarely,1079.83,,4,life sciences,1,430,7
430,29,No,travel_rarely,556.26,,3,,1,431,19
431,29,Yes,,243.7,,4,technical degree,1,432,1
432,29,No,,556.26,,1,other,1,433,8
433,40,No,travel_rarely,1582.77,human resources,2,,1,434,6
434,48,No,,664.34,sales,4,life sciences,1,435,16
435,53,Yes,,1032.49,,5,,1,436,2
436,44,No,,1973.98,,3,medical,1,437,7
437,45,No,,595.21,,5,,1,438,5
438,45,No,non-travel,452.42,,3,marketing,1,439,26
439,34,No,travel_frequently,556.26,,4,,1,440,10
440,39,No,,556.26,research & development,5,medical,1,441,10
441,27,No,,419.51,research & development,3,,1,442,36
442,45,No,travel_rarely,556.26,,2,,1,443,2
443,44,No,,556.26,,5,,1,444,1
444,25,No,,537.13,,1,life sciences,1,445,2
445,49,No,,1582.77,,3,,1,446,1
446,48,Yes,travel_frequently,273.93,,2,,1,447,7
447,26,No,,265.16,,3,medical,1,448,7
448,44,No,travel_rarely,1032.49,,3,life sciences,1,449,2
449,36,No,,464.49,,4,,1,450,2
450,46,No,,556.26,research & development,4,,1,451,13
451,35,No,,556.26,,4,life sciences,1,452,27
452,30,No,travel_frequently,512.57,,4,,1,453,2
453,30,No,,1032.49,,2,marketing,1,454,15
454,33,No,non-travel,531.04,,3,marketing,1,455,2
455,32,No,,280.43,,4,,1,456,5
456,43,No,travel_rarely,365.13,,3,life sciences,1,457,2
457,31,No,travel_rarely,564.16,,4,marketing,1,458,29
458,35,Yes,,599.75,,3,,1,459,27
459,35,No,non-travel,556.26,research & development,2,medical,1,460,2
460,30,No,,997.39,,3,medical,1,461,10
461,46,Yes,travel_rarely,556.26,,2,medical,1,462,19
462,45,No,non-travel,531.76,,4,,1,463,2
463,43,No,travel_frequently,585.52,,4,life sciences,1,464,2
464,46,Yes,,754.62,,3,life sciences,1,465,10
465,40,No,travel_rarely,1582.77,research & development,4,,1,466,1
466,27,No,travel_rarely,556.26,sales,2,,1,467,2
467,42,No,,1032.49,,3,medical,1,468,6
468,26,No,travel_frequently,290.04,,3,other,1,469,6
469,28,No,travel_frequently,556.26,,2,life sciences,1,470,1
470,47,No,,556.26,,4,,1,471,14
471,34,No,travel_rarely,1032.49,,4,medical,1,472,13
472,26,No,,290.04,research & development,3,medical,1,473,1
473,27,No,travel_rarely,556.26,,3,,1,474,9
474,31,Yes,travel_frequently,556.26,sales,4,marketing,1,475,26
475,33,No,travel_frequently,556.26,,2,life sciences,1,476,7
476,31,No,,1032.49,,3,,1,477,10
477,35,No,,525.98,,4,medical,1,478,9
478,33,No,travel_rarely,556.26,,2,,1,479,15
479,39,No,travel_rarely,556.26,,1,life sciences,1,480,24
480,36,No,travel_rarely,1032.49,,3,,1,481,46
481,41,No,travel_rarely,1400.08,,4,life sciences,1,482,28
482,34,No,,692.51,sales,3,marketing,1,483,28
483,38,No,travel_rarely,556.26,,2,,1,484,10
484,39,No,travel_rarely,1030.82,,1,,1,485,6
485,34,No,travel_rarely,1032.49,,4,,1,486,7
486,44,No,travel_rarely,1057.33,,4,medical,1,487,7
487,46,No,,556.26,,4,,1,488,5
488,41,No,travel_frequently,1582.77,research & development,3,life sciences,1,489,10
489,39,No,,1128.52,research & development,4,,1,490,2
490,42,No,travel_rarely,267.53,,3,medical,1,491,2
491,33,No,travel_frequently,1225.51,research & development,4,,1,492,5
492,35,No,travel_rarely,835.2,,4,technical degree,1,493,5
493,33,Yes,travel_rarely,1032.49,,1,medical,1,494,15
494,40,No,travel_rarely,1582.77,,3,life sciences,1,495,6
495,41,No,travel_rarely,1973.98,,4,human resources,1,496,10
496,27,No,,556.26,,3,,1,497,7
497,52,No,travel_rarely,1739.11,,4,marketing,1,498,3
498,51,No,travel_rarely,1582.77,,4,marketing,1,499,26
499,47,No,travel_rarely,468.1,,2,marketing,1,500,2
500,50,No,non-travel,1849.3,research & development,4,,1,501,2
501,35,No,travel_rarely,414.14,research & development,1,life sciences,1,502,21
502,39,No,travel_rarely,1314.65,,1,,1,503,1
503,39,No,travel_frequently,1032.49,,3,medical,1,504,22
504,41,No,,348.32,,2,,1,505,7
505,44,Yes,,1081.48,human resources,2,medical,1,506,1
506,42,No,,1582.77,,2,medical,1,507,2
507,52,No,travel_rarely,1032.49,,4,life sciences,1,508,7
508,38,No,,290.04,,3,,1,509,1
509,46,No,,290.04,human resources,2,life sciences,1,510,1
510,35,No,,438.39,,4,life sciences,1,511,4
511,28,No,travel_rarely,675.69,research & development,1,life sciences,1,512,29
512,44,No,,1582.77,,3,life sciences,1,513,28
513,50,No,,1486.85,,5,,1,514,22
514,55,No,travel_rarely,2020.78,,5,marketing,1,515,23
