,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
19,40,no,travel_rarely,1032.49,,15,3,life sciences,1,20,1,female,,2,3,manufacturing director,3,,8339.32,21682.23,1,y,,13,3,4,,2,18,2,,18,,14,12,8339.32,1983,,,,yes
20,45,no,non-travel,1108.92,research & development,1,1,,1,21,3,male,,2,3,healthcare representative,3,,8956.67,23287.33,3,y,,23,4,4,full time,1,25,3,2,23,,14,4,8956.67,1978,107480.00,healthcare representative  -  research & development,,no
21,33,no,,1032.49,,1,2,life sciences,1,22,1,female,,3,3,research director,4,single,,21682.23,1,y,yes,12,3,3,part time,0,15,1,3,15,,8,12,,1990,100071.84,,,yes
22,36,no,,1032.49,,8,3,,1,23,3,female,,3,3,healthcare representative,3,divorced,,21682.23,1,y,,13,,2,,3,17,2,3,17,,12,8,,1987,100071.84,,,yes
23,47,no,,1728.38,,2,2,other,1,24,3,female,216.0476190476191,3,4,manager,4,married,,36296.0,1,y,,11,3,3,full time,1,,3,2,26,,3,0,,1976,167520.00,,,no
24,36,no,travel_rarely,639.79,,42,2,life sciences,1,25,4,male,79.97321428571429,3,2,sales executive,4,,5167.5,13435.5,1,y,,14,3,4,full time,1,18,1,,18,,4,11,5167.50,1987,62010.00,,,yes
25,35,no,,1032.49,,9,3,life sciences,1,26,4,female,129.06091077207583,2,3,manufacturing director,3,married,,21682.23,1,y,yes,20,4,2,part time,1,17,2,3,17,,5,15,,1988,100071.84,,,no
26,52,yes,,2047.5,,2,1,,1,27,1,female,,1,5,manager,4,married,,42997.5,1,y,no,15,3,4,full time,1,33,3,3,32,,6,9,,1971,198450.00,,,yes
27,36,no,,556.26,,2,4,life sciences,1,28,3,female,,3,2,manufacturing director,2,single,4492.84,11681.39,9,y,yes,11,3,4,,0,18,2,3,16,,5,12,4492.84,1987,53914.11,,,no
28,33,no,travel_rarely,556.26,,28,4,life sciences,1,29,2,male,69.53208262471655,3,2,laboratory technician,3,married,4492.84,11681.39,1,y,,12,3,2,part time,1,15,3,3,15,,5,7,4492.84,1990,53914.11,,,yes
29,34,no,non-travel,412.8,sales,10,3,life sciences,1,30,4,male,,3,2,sales executive,3,,3334.17,8668.83,1,y,yes,14,3,3,part time,1,15,3,3,15,,0,7,3334.17,1989,40010.00,sales executive  -  sales,,yes
30,41,no,,1077.87,sales,37,1,,1,31,3,female,,3,3,sales executive,3,divorced,8705.83,22635.17,0,y,,13,3,4,full time,1,,3,4,22,,13,5,8705.83,1982,104470.00,sales executive  -  sales,,yes
31,47,no,,1032.49,research & development,25,3,medical,1,32,1,male,,3,3,healthcare representative,3,,8339.32,21682.23,2,y,,23,4,2,,0,25,3,3,17,,12,11,8339.32,1976,,healthcare representative  -  research & development,,yes
32,53,no,travel_rarely,1973.98,,5,3,,1,33,3,female,246.74801587301585,3,5,manager,3,,15943.72,41453.67,4,y,,11,3,4,full time,1,26,3,2,14,,4,8,15943.72,1970,191324.62,,,yes
33,35,no,,556.26,,1,4,marketing,1,34,3,male,69.53208262471655,2,2,sales executive,1,single,4492.84,11681.39,0,y,no,14,,2,part time,0,16,2,3,15,,2,8,4492.84,1988,53914.11,,,no
34,34,no,travel_rarely,556.26,,6,4,other,1,35,1,female,,3,2,research scientist,3,single,4492.84,11681.39,1,y,,14,3,3,,0,16,3,3,16,,2,10,4492.84,1989,,,,yes
35,46,no,travel_rarely,1032.49,,1,2,,1,36,2,female,,3,3,sales executive,1,divorced,8339.32,21682.23,1,y,no,25,4,3,part time,3,24,2,3,24,,15,7,8339.32,1977,100071.84,,,yes
36,43,no,,1657.4,,16,3,,1,37,4,female,207.1746031746032,3,4,manager,4,married,,34805.33,5,y,,22,4,3,full time,1,22,3,3,17,,1,9,,1980,160640.00,,,yes
37,36,no,,331.19,research & development,6,3,life sciences,1,38,4,male,,3,1,laboratory technician,4,married,2675.0,6955.0,0,y,,11,3,3,full time,1,16,4,3,15,,10,11,2675.00,1987,32100.00,laboratory technician  -  research & development,,yes
38,60,no,travel_frequently,1059.19,,28,3,,1,39,3,female,,2,3,sales executive,1,married,8555.0,22243.0,4,y,no,19,3,4,full time,0,22,5,4,18,13,13,11,8555.00,1963,102660.00,,,yes
39,40,no,travel_frequently,1080.75,,5,4,,1,40,4,male,,2,3,sales executive,1,married,8729.17,22695.83,5,y,yes,21,4,3,full time,1,20,2,3,18,,1,12,8729.17,1983,104750.00,,,no
40,32,no,travel_rarely,635.76,,4,3,,1,41,3,female,,2,2,manufacturing director,3,married,,13351.0,1,y,no,12,3,3,full time,1,14,3,3,14,,6,8,,1991,61620.00,,,no
41,41,no,travel_rarely,487.09,,35,3,,1,42,3,male,60.8859126984127,3,1,laboratory technician,1,single,3934.17,10228.83,2,y,yes,13,,3,full time,0,20,3,3,18,,2,17,3934.17,1982,47210.00,,,yes
42,53,no,,1582.77,,2,2,medical,1,43,3,male,,3,4,manager,3,divorced,12783.92,33238.2,6,y,no,13,3,3,full time,1,22,3,4,17,,15,2,12783.92,1970,153407.07,,,no
43,36,yes,travel_rarely,290.04,,16,4,,1,44,3,female,36.25443871706758,4,1,laboratory technician,1,single,,6090.75,1,y,,16,3,3,part time,0,18,1,3,17,,15,14,,1987,28111.13,,,yes
44,46,no,,476.15,,8,4,life sciences,1,45,4,female,,2,2,research scientist,1,divorced,3845.83,9999.17,8,y,yes,23,4,1,part time,3,,2,3,16,,1,7,3845.83,1977,46150.00,,,no
45,38,no,travel_rarely,556.26,,1,4,,1,46,4,male,,3,2,sales executive,2,married,4492.84,11681.39,0,y,no,15,3,1,,2,16,3,,15,,5,8,4492.84,1985,53914.11,,,yes
46,51,no,,1032.49,,1,4,,1,47,1,female,,2,3,healthcare representative,1,single,8339.32,21682.23,3,y,,20,4,3,part time,0,23,1,2,13,,12,8,8339.32,1972,100071.84,,,yes
47,43,no,,1749.74,,26,2,,1,48,3,male,,3,4,manager,4,married,14132.5,36744.5,1,y,yes,12,3,4,full time,2,25,3,4,25,,4,12,14132.50,1980,169590.00,,,yes
48,37,no,,290.04,,1,3,life sciences,1,49,4,female,,3,1,research scientist,4,single,,6090.75,1,y,no,12,3,2,part time,0,,3,3,17,,5,7,,1986,28111.13,,,yes
49,32,no,travel_rarely,556.26,,8,2,technical degree,1,50,3,female,,2,2,sales executive,2,married,,11681.39,1,y,yes,11,3,4,part time,0,,2,3,13,12,11,9,,1991,53914.11,,,yes
50,38,no,,1032.49,,1,3,,1,51,4,female,,3,3,research director,1,married,8339.32,21682.23,1,y,,13,3,2,part time,1,15,3,3,15,,5,11,8339.32,1985,100071.84,,,no
51,46,no,,1582.77,,3,3,life sciences,1,52,3,female,,3,4,manager,2,,12783.92,33238.2,8,y,no,12,3,4,full time,1,23,2,4,13,,5,1,12783.92,1977,153407.07,,,yes
52,35,yes,travel_rarely,1063.32,,10,3,medical,1,53,4,male,,2,3,sales executive,1,married,8588.33,22329.67,9,y,,17,3,3,,0,15,3,,13,,6,0,8588.33,1988,,,,no
53,43,no,,1973.98,,6,3,medical,1,54,1,female,,2,5,manager,3,married,15943.72,41453.67,7,y,no,13,3,4,,0,21,2,3,16,,6,14,15943.72,1980,,,,yes
54,56,no,non-travel,556.26,,1,4,life sciences,1,55,3,male,,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,y,no,21,,1,,1,,2,2,13,,1,9,4492.84,1967,,,,yes
55,36,no,non-travel,557.76,,15,4,marketing,1,56,4,male,,1,2,sales executive,4,divorced,4505.0,11713.0,1,y,no,24,4,1,full time,1,,4,2,15,,11,11,4505.00,1987,54060.00,,,yes
56,38,no,,556.26,,6,3,medical,1,57,2,female,,1,2,research scientist,4,,,11681.39,7,y,,12,3,4,part time,3,17,3,3,13,,1,9,,1985,53914.11,,,yes
57,49,no,,556.26,,26,4,medical,1,58,3,female,69.53208262471655,3,2,manufacturing director,1,,,11681.39,1,y,no,14,3,3,part time,0,16,2,2,15,,5,11,,1974,53914.11,,,no
58,39,no,travel_rarely,608.94,,4,4,life sciences,1,59,4,female,,2,2,sales executive,3,married,4918.33,12787.67,4,y,,14,3,3,full time,1,17,1,4,15,,5,9,4918.33,1984,59020.00,,,yes
59,40,no,,1119.96,,4,4,,1,60,3,male,139.9950396825397,2,3,sales executive,4,married,,23519.17,7,y,no,11,,1,full time,1,15,2,2,12,,2,11,,1983,108550.00,,,yes
60,36,no,,610.17,,5,2,,1,61,4,male,,3,2,laboratory technician,2,single,4928.33,12813.67,8,y,no,16,3,4,full time,0,16,3,4,13,,3,7,4928.33,1987,59140.00,,,yes
61,37,no,,556.26,,25,5,,1,62,2,female,,3,2,research scientist,3,married,,11681.39,3,y,yes,15,3,1,,2,15,2,3,13,,10,7,,1986,53914.11,,,no
62,35,no,,685.7,,6,4,,1,63,2,male,,1,2,research scientist,4,,5538.33,14399.67,1,y,,13,3,2,full time,0,,3,3,17,,11,8,5538.33,1988,66460.00,,,yes
63,33,no,travel_frequently,556.26,,6,3,life sciences,1,64,3,male,,3,2,healthcare representative,4,divorced,4492.84,11681.39,3,y,no,23,4,3,part time,1,15,2,1,13,,4,7,4492.84,1990,53914.11,,,no
64,50,no,travel_rarely,1441.66,research & development,24,3,,1,65,4,male,,3,4,manufacturing director,3,married,,30274.83,3,y,yes,18,3,4,full time,1,22,2,3,12,,1,5,,1973,139730.00,manufacturing director  -  research & development,,no
65,48,no,travel_rarely,1032.49,,4,4,,1,66,3,male,,2,3,healthcare representative,3,single,,21682.23,7,y,,14,,2,part time,0,27,3,3,15,11,4,8,,1975,100071.84,,,yes
66,44,no,travel_rarely,1374.29,sales,28,3,,1,67,4,female,,4,4,sales executive,4,married,11100.0,28860.0,3,y,,18,3,3,,1,,2,3,12,,11,11,11100.00,1979,,sales executive  -  sales,,yes
67,44,no,travel_rarely,556.26,,29,4,,1,68,4,male,69.53208262471655,3,2,research scientist,4,single,,11681.39,1,y,,25,4,2,part time,0,,3,3,20,,13,17,,1979,53914.11,,,yes
68,40,no,,556.26,,25,1,,1,69,2,female,,4,2,healthcare representative,3,,,11681.39,5,y,no,20,4,2,part time,3,15,0,3,12,,11,8,,1983,53914.11,,,yes
69,34,no,travel_rarely,689.93,,2,4,,1,70,3,female,86.24107142857143,3,2,healthcare representative,4,single,5572.5,14488.5,1,y,,11,3,4,full time,0,14,2,4,14,,4,11,5572.50,1989,66870.00,,,yes
70,35,no,non-travel,556.26,research & development,8,4,,1,71,3,female,,3,2,healthcare representative,3,,4492.84,11681.39,1,y,,12,3,4,part time,1,,5,3,14,,2,9,4492.84,1988,53914.11,healthcare representative  -  research & development,,yes
71,50,no,,1032.49,,17,5,life sciences,1,72,4,female,,2,3,research director,1,,,21682.23,5,y,no,15,3,3,part time,3,,3,3,14,11,1,11,,1973,100071.84,,,no
72,49,no,,1582.77,,6,1,life sciences,1,73,3,female,197.8464183087028,2,4,healthcare representative,3,,12783.92,33238.2,2,y,,19,3,2,full time,1,,3,3,15,,2,12,12783.92,1974,153407.07,,,yes
73,38,no,travel_frequently,488.53,,1,3,life sciences,1,74,4,male,61.06646825396825,3,2,research scientist,4,,,10259.17,7,y,no,15,3,4,part time,2,19,4,,13,,2,9,,1985,47350.00,,,yes
74,33,no,,290.04,,21,3,,1,75,2,male,,4,1,laboratory technician,2,,,6090.75,1,y,no,18,3,4,part time,3,14,6,,14,,2,13,,1990,28111.13,,,yes
75,47,no,travel_rarely,1032.49,,4,3,life sciences,1,76,3,female,,2,3,manufacturing director,2,divorced,8339.32,21682.23,8,y,yes,12,,3,part time,1,,4,3,22,,14,10,8339.32,1976,100071.84,,,yes
76,38,no,,556.26,research & development,8,3,,1,77,4,female,,2,2,research scientist,2,divorced,4492.84,11681.39,1,y,,16,3,3,,1,20,3,3,20,,0,7,4492.84,1985,,research scientist  -  research & development,,no
77,37,no,travel_rarely,1032.49,,10,3,life sciences,1,78,3,female,,4,3,research director,4,,8339.32,21682.23,1,y,yes,25,4,1,part time,1,16,2,3,16,,6,8,8339.32,1986,100071.84,,,yes
78,30,no,,556.26,,2,3,,1,79,3,male,,2,2,healthcare representative,4,married,,11681.39,1,y,no,19,,1,part time,3,11,3,3,11,,10,8,,1993,53914.11,,,yes
79,58,no,travel_rarely,1431.24,,18,4,,1,80,4,male,,3,4,sales executive,3,single,11560.0,30056.0,0,y,,13,3,3,full time,0,38,1,2,37,,1,8,11560.00,1965,138720.00,,,yes
80,34,no,travel_rarely,1032.49,,5,3,,1,81,3,female,,2,3,manager,1,single,8339.32,21682.23,2,y,,12,3,4,,0,14,6,3,11,,5,8,8339.32,1989,,,,no
81,58,yes,travel_rarely,1032.49,,23,4,medical,1,82,4,female,,3,3,healthcare representative,4,married,8339.32,21682.23,1,y,,12,3,4,part time,1,40,3,2,40,,15,6,8339.32,1965,100071.84,,,yes
82,38,no,,1032.49,,3,3,life sciences,1,83,1,male,,3,3,sales executive,3,divorced,8339.32,21682.23,0,y,,12,3,3,,2,,6,2,16,,5,13,8339.32,1985,,,,yes
83,29,no,travel_frequently,1032.49,,1,1,,1,84,2,female,,3,3,sales executive,4,married,8339.32,21682.23,1,y,,14,3,4,part time,1,11,5,3,11,,4,1,8339.32,1994,100071.84,,,yes
84,55,no,travel_rarely,1964.96,,1,3,medical,1,85,4,male,245.6200396825397,3,5,manager,1,single,15870.83,41264.17,0,y,,14,3,3,full time,0,37,2,3,36,,4,13,15870.83,1968,190450.00,,,yes
85,41,no,,1652.34,,10,4,,1,86,4,male,,3,4,manager,2,,13345.83,34699.17,1,y,,19,3,2,,0,,2,3,22,,0,4,13345.83,1982,,,,yes
86,39,no,travel_rarely,991.82,research & development,1,3,,1,87,3,male,123.97718253968254,4,3,healthcare representative,4,,8010.83,20828.17,0,y,no,17,,1,part time,3,19,5,2,18,,3,7,8010.83,1984,96130.00,healthcare representative  -  research & development,,no
87,38,no,,1187.54,,15,2,life sciences,1,88,3,male,148.44246031746033,2,3,research director,4,,,24938.33,0,y,,14,3,2,full time,1,,3,3,11,,2,9,,1985,115100.00,,,yes
88,43,no,,1582.77,,12,3,,1,89,1,male,,2,4,research director,2,,12783.92,33238.2,1,y,no,11,3,3,full time,1,,3,,25,,3,9,12783.92,1980,153407.07,,,yes
89,31,no,,444.27,,30,2,,1,90,2,female,,3,2,manufacturing director,1,married,3588.33,9329.67,1,y,no,12,3,2,,1,13,5,1,13,,3,12,3588.33,1992,,,,yes
90,50,no,travel_rarely,1758.71,research & development,27,4,life sciences,1,91,2,male,,2,4,manager,3,married,14205.0,36933.0,0,y,no,15,3,2,full time,1,28,2,3,27,,15,7,14205.00,1973,170460.00,manager  -  research & development,,yes
91,35,no,,1032.49,,25,3,technical degree,1,92,4,male,129.06091077207583,2,3,manufacturing director,2,married,8339.32,21682.23,3,y,no,16,,1,part time,0,,2,3,13,,4,8,8339.32,1988,100071.84,,,no
92,47,no,,522.79,,16,4,,1,93,3,male,,4,2,manufacturing director,3,,4222.5,10978.5,1,y,yes,19,3,3,,0,20,3,,19,,2,7,4222.50,1976,,,,yes
93,35,no,,1032.49,research & development,25,4,,1,94,3,female,129.06091077207583,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,y,yes,11,,3,part time,1,,3,2,16,,10,1,8339.32,1988,100071.84,healthcare representative  -  research & development,,yes
94,40,no,travel_rarely,1032.49,,20,4,,1,95,1,male,129.06091077207583,3,3,healthcare representative,4,married,,21682.23,4,y,,20,4,4,part time,1,14,6,3,11,,11,1,,1983,100071.84,,,yes
95,45,no,,556.26,sales,9,4,life sciences,1,96,2,female,,2,2,sales executive,3,married,4492.84,11681.39,1,y,,13,3,4,part time,1,15,2,3,15,,4,12,4492.84,1978,53914.11,sales executive  -  sales,,no
96,33,no,,290.04,research & development,9,3,medical,1,97,1,male,,3,1,research scientist,4,married,,6090.75,0,y,,13,3,2,,1,15,5,3,14,,4,10,,1990,28111.13,research scientist  -  research & development,,no
97,36,no,travel_frequently,380.92,,3,3,,1,98,3,male,,3,1,research scientist,2,married,3076.67,7999.33,1,y,no,12,3,3,full time,0,12,2,2,11,,0,7,3076.67,1987,36920.00,,,no
98,45,yes,,1973.98,,13,3,marketing,1,99,1,female,246.74801587301585,1,5,manager,2,,15943.72,41453.67,2,y,yes,16,3,1,full time,0,26,2,3,24,,1,11,15943.72,1978,191324.62,,,yes
99,51,no,travel_frequently,2047.71,,27,3,,1,100,2,male,255.96329365079364,3,5,manager,2,,,43001.83,4,y,yes,24,,1,full time,1,,5,2,29,,11,10,,1972,198470.00,,,no
100,34,no,travel_rarely,238.13,,7,2,technical degree,1,101,2,male,,3,1,sales representative,3,,,5000.67,0,y,yes,25,4,2,part time,1,12,4,3,11,,5,7,,1989,23080.00,,,no
101,43,no,travel_rarely,1582.77,research & development,15,2,,1,102,3,male,,2,4,research director,3,,,33238.2,1,y,no,24,4,1,full time,1,,3,3,14,,6,11,,1980,153407.07,research director  -  research & development,,yes
102,34,no,,556.26,,5,2,medical,1,103,2,male,,2,2,laboratory technician,4,,4492.84,11681.39,1,y,no,14,3,3,part time,1,,3,,15,,4,13,4492.84,1989,53914.11,,,no
103,38,no,,290.04,,2,3,,1,104,1,male,,3,1,human resources,2,divorced,2342.59,6090.75,5,y,no,13,3,4,part time,3,13,3,3,11,,3,8,2342.59,1985,28111.13,,,yes
104,48,no,,1973.98,,10,3,,1,105,4,male,,2,5,research director,2,,,41453.67,4,y,no,12,3,4,full time,0,29,3,3,22,,12,9,,1975,191324.62,,,no
105,34,no,,592.94,research & development,22,4,other,1,106,3,male,,2,2,research scientist,4,married,4789.17,12451.83,1,y,yes,15,3,2,full time,0,16,3,3,15,,6,11,4789.17,1989,57470.00,research scientist  -  research & development,,no
106,32,no,travel_rarely,1075.29,,31,4,,1,107,3,female,134.41071428571428,3,3,sales executive,4,,8685.0,22581.0,1,y,no,19,3,3,full time,2,14,3,3,14,,5,7,8685.00,1991,104220.00,,,yes
107,29,no,travel_rarely,1032.49,,21,4,life sciences,1,108,2,female,,4,3,manufacturing director,1,divorced,8339.32,21682.23,1,y,no,11,3,3,,1,10,1,3,10,,8,8,8339.32,1994,,,,no
108,46,no,,1032.49,,1,3,medical,1,109,3,male,,2,3,healthcare representative,1,married,,21682.23,2,y,yes,13,3,3,,1,21,5,2,10,,9,5,,1977,100071.84,,,no
109,30,no,,654.85,human resources,9,3,,1,110,3,male,,3,2,human resources,4,married,5289.17,13751.83,0,y,yes,19,3,4,full time,0,,2,1,11,,4,7,5289.17,1993,63470.00,human resources  -  human resources,,no
110,45,no,,242.25,,9,3,life sciences,1,111,2,male,,3,2,laboratory technician,2,,1956.67,5087.33,8,y,no,18,3,3,part time,1,20,2,,17,,0,15,1956.67,1978,23480.00,,,yes
111,30,no,travel_rarely,1032.49,,5,3,,1,112,2,female,129.06091077207583,3,3,sales executive,4,,8339.32,21682.23,2,y,no,12,3,3,part time,1,,2,3,10,,7,4,8339.32,1993,100071.84,,,yes
112,30,no,,316.95,,9,3,,1,113,3,male,,3,2,laboratory technician,1,,,6656.0,1,y,no,11,,3,part time,2,12,4,3,12,,6,10,,1993,30720.00,,,yes
113,34,no,travel_frequently,556.26,,29,1,,1,114,4,male,,2,2,manufacturing director,3,married,4492.84,11681.39,1,y,,17,3,3,,0,10,2,2,10,,1,9,4492.84,1989,,,,no
114,51,no,travel_rarely,1288.65,,8,4,life sciences,1,115,2,male,,2,3,research director,2,married,10408.33,27061.67,5,y,no,16,3,4,full time,2,16,5,1,10,,4,7,10408.33,1972,124900.00,,,no
115,34,no,,556.26,,39,4,life sciences,1,116,3,male,69.53208262471655,2,2,manufacturing director,1,,4492.84,11681.39,6,y,,13,3,2,part time,1,13,3,3,11,,5,9,4492.84,1989,53914.11,,,yes
116,35,no,travel_rarely,827.46,,16,3,,1,117,3,male,,3,3,sales executive,2,married,6683.33,17376.67,0,y,,15,3,3,part time,2,12,3,2,11,,6,9,6683.33,1988,80200.00,,,yes
117,45,no,travel_frequently,1032.49,,7,3,life sciences,1,118,1,male,,3,3,laboratory technician,1,,8339.32,21682.23,1,y,,18,3,1,part time,1,24,2,3,24,,9,11,8339.32,1978,100071.84,,,yes
118,39,no,,1760.98,,10,1,,1,119,3,male,,3,4,manager,1,married,,36980.67,1,y,,14,,4,full time,0,21,3,3,21,,11,10,,1984,170680.00,,,yes
119,31,no,,922.69,,7,2,,1,120,3,female,,2,3,manufacturing director,3,married,7452.5,19376.5,1,y,no,24,4,1,part time,1,10,2,3,10,,8,9,7452.50,1992,89430.00,,,no
120,39,no,,1988.38,research & development,7,2,,1,121,3,male,,2,5,manager,4,married,16060.0,41756.0,1,y,,15,3,1,full time,1,,2,3,21,,13,3,16060.00,1984,192720.00,manager  -  research & development,,yes
121,45,no,travel_rarely,556.26,,8,4,,1,122,4,male,69.53208262471655,3,2,research scientist,4,,4492.84,11681.39,9,y,no,14,3,1,part time,2,12,3,3,10,,9,8,4492.84,1978,53914.11,,,yes
122,30,no,travel_rarely,556.26,sales,5,3,marketing,1,123,4,female,,2,2,sales executive,3,,4492.84,11681.39,1,y,,13,3,3,,3,10,2,3,10,,1,2,4492.84,1993,,sales executive  -  sales,,yes
123,31,no,,1032.49,,7,4,medical,1,124,3,female,129.06091077207583,3,3,manufacturing director,4,,8339.32,21682.23,1,y,,14,3,3,part time,0,11,2,2,11,,4,10,8339.32,1992,100071.84,,,no
124,36,no,,1032.49,,3,4,medical,1,125,1,male,,2,3,sales executive,4,married,8339.32,21682.23,4,y,no,11,3,1,part time,1,16,2,3,13,,1,12,8339.32,1987,100071.84,,,yes
125,36,no,travel_rarely,1032.49,,2,2,,1,126,2,male,,2,3,sales executive,3,married,,21682.23,1,y,,13,3,2,part time,2,10,2,3,10,,9,0,,1987,100071.84,,,yes
126,55,no,travel_rarely,1582.77,,18,5,,1,127,1,female,197.8464183087028,3,4,manager,2,single,12783.92,33238.2,3,y,no,23,4,4,full time,0,37,2,3,10,,7,7,12783.92,1968,153407.07,,,yes
127,35,no,,556.26,,1,3,,1,128,2,male,,3,2,sales executive,3,,4492.84,11681.39,9,y,,11,3,3,part time,0,15,2,3,11,,6,9,4492.84,1988,53914.11,,,yes
128,42,no,travel_rarely,1032.49,,24,3,medical,1,129,4,male,129.06091077207583,3,3,manufacturing director,1,married,8339.32,21682.23,1,y,,21,4,4,part time,1,10,5,2,10,,5,8,8339.32,1981,100071.84,,,no
129,52,no,travel_rarely,575.4,,6,2,,1,130,4,male,71.92559523809524,3,2,research scientist,1,divorced,4647.5,12083.5,3,y,yes,12,,2,full time,2,18,3,3,10,,6,9,4647.50,1971,55770.00,,,yes
130,49,no,,1973.98,,18,4,life sciences,1,131,4,male,246.74801587301585,2,5,research director,3,,,41453.67,1,y,yes,17,3,3,full time,1,,5,3,31,,0,9,,1974,191324.62,,,yes
131,34,no,travel_rarely,277.64,research & development,1,5,,1,132,2,male,,3,1,research scientist,4,married,2242.5,5830.5,1,y,no,12,3,4,part time,1,,4,2,10,,8,8,2242.50,1989,26910.00,research scientist  -  research & development,,yes
