environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate
3,male,123.98,4,3,healthcare representative,4,,8010.83,20828.17
3,male,148.44,2,3,research director,4,,9591.67,24938.33
1,male,197.85,2,4,research director,2,,12783.92,33238.2
2,female,55.53,3,2,manufacturing director,1,married,3588.33,9329.67
2,male,219.84,2,4,manager,3,married,14205.0,36933.0
4,male,129.06,2,3,manufacturing director,2,married,8339.32,21682.23
3,male,65.35,4,2,manufacturing director,3,,4222.5,10978.5
3,female,129.06,3,3,healthcare representative,3,divorced,8339.32,21682.23
1,male,129.06,3,3,healthcare representative,4,married,8339.32,21682.23
2,female,69.53,2,2,sales executive,3,married,4492.84,11681.39
1,male,36.25,3,1,research scientist,4,married,2342.59,6090.75
3,male,47.62,3,1,research scientist,2,married,3076.67,7999.33
1,female,246.75,1,5,manager,2,,15943.72,41453.67
2,male,255.96,3,5,manager,2,,16539.17,43001.83
2,male,29.77,3,1,sales representative,3,,1923.33,5000.67
3,male,197.85,2,4,research director,3,,12783.92,33238.2
2,male,69.53,2,2,laboratory technician,4,,4492.84,11681.39
1,male,36.25,3,1,human resources,2,divorced,2342.59,6090.75
4,male,246.75,2,5,research director,2,,15943.72,41453.67
3,male,74.12,2,2,research scientist,4,married,4789.17,12451.83
3,female,134.41,3,3,sales executive,4,,8685.0,22581.0
2,female,129.06,4,3,manufacturing director,1,divorced,8339.32,21682.23
3,male,129.06,2,3,healthcare representative,1,married,8339.32,21682.23
3,male,81.86,3,2,human resources,4,married,5289.17,13751.83
2,male,30.28,3,2,laboratory technician,2,,1956.67,5087.33
2,female,129.06,3,3,sales executive,4,,8339.32,21682.23
3,male,39.62,3,2,laboratory technician,1,,2560.0,6656.0
4,male,69.53,2,2,manufacturing director,3,married,4492.84,11681.39
2,male,161.08,2,3,research director,2,married,10408.33,27061.67
3,male,69.53,2,2,manufacturing director,1,,4492.84,11681.39
3,male,103.43,3,3,sales executive,2,married,6683.33,17376.67
1,male,129.06,3,3,laboratory technician,1,,8339.32,21682.23
3,male,220.12,3,4,manager,1,married,14223.33,36980.67
3,female,115.34,2,3,manufacturing director,3,married,7452.5,19376.5
3,male,248.55,2,5,manager,4,married,16060.0,41756.0
4,male,69.53,3,2,research scientist,4,,4492.84,11681.39
4,female,69.53,2,2,sales executive,3,,4492.84,11681.39
3,female,129.06,3,3,manufacturing director,4,,8339.32,21682.23
1,male,129.06,2,3,sales executive,4,married,8339.32,21682.23
2,male,129.06,2,3,sales executive,3,married,8339.32,21682.23
1,female,197.85,3,4,manager,2,single,12783.92,33238.2
2,male,69.53,3,2,sales executive,3,,4492.84,11681.39
4,male,129.06,3,3,manufacturing director,1,married,8339.32,21682.23
4,male,71.93,3,2,research scientist,1,divorced,4647.5,12083.5
4,male,246.75,2,5,research director,3,,15943.72,41453.67
2,male,34.71,3,1,research scientist,4,married,2242.5,5830.5
4,male,36.25,3,1,research scientist,4,single,2342.59,6090.75
3,male,129.06,3,3,research director,3,married,8339.32,21682.23
4,female,197.85,3,4,research director,4,,12783.92,33238.2
1,female,95.48,3,3,laboratory technician,2,married,6169.17,16039.83
2,male,129.06,3,3,sales executive,4,,8339.32,21682.23
3,female,113.79,2,3,healthcare representative,3,married,7352.5,19116.5
1,male,197.85,3,4,manager,3,married,12783.92,33238.2
1,male,69.53,3,2,manufacturing director,4,single,4492.84,11681.39
1,male,197.85,3,4,sales executive,1,single,12783.92,33238.2
4,male,69.53,2,2,healthcare representative,1,single,4492.84,11681.39
4,male,46.16,3,1,research scientist,2,,2982.5,7754.5
4,male,229.29,3,4,research director,4,married,14815.83,38521.17
3,female,69.53,2,2,healthcare representative,1,single,4492.84,11681.39
2,male,234.89,3,5,manager,2,married,15177.5,39461.5
4,male,175.1,2,4,healthcare representative,2,divorced,11314.17,29416.83
3,male,247.49,4,5,manager,1,divorced,15991.67,41578.33
3,male,69.53,2,2,human resources,2,,4492.84,11681.39
3,female,220.83,2,4,manager,2,divorced,14269.17,37099.83
4,female,247.45,1,5,manager,3,,15989.17,41571.83
3,male,197.85,3,4,manager,2,,12783.92,33238.2
1,female,129.07,2,3,manufacturing director,1,married,8340.0,21684.0
4,male,129.06,3,3,manufacturing director,4,single,8339.32,21682.23
2,male,103.02,2,3,human resources,1,single,6656.67,17307.33
4,male,69.53,1,2,sales executive,1,single,4492.84,11681.39
1,female,36.25,3,1,laboratory technician,4,,2342.59,6090.75
2,male,69.53,4,2,research scientist,3,married,4492.84,11681.39
1,female,69.53,2,2,sales executive,2,single,4492.84,11681.39
2,female,197.85,3,4,manager,4,,12783.92,33238.2
4,male,91.35,2,3,sales executive,3,,5902.5,15346.5
2,male,60.91,3,1,laboratory technician,1,single,3935.83,10233.17
2,male,43.94,4,2,laboratory technician,3,,2839.17,7381.83
4,male,69.53,3,2,sales executive,4,,4492.84,11681.39
2,female,37.77,2,1,research scientist,4,married,2440.83,6346.17
4,male,69.53,3,2,sales executive,4,,4492.84,11681.39
2,male,197.85,3,4,manager,2,divorced,12783.92,33238.2
1,female,69.53,2,2,sales executive,3,married,4492.84,11681.39
1,male,129.06,3,3,healthcare representative,3,married,8339.32,21682.23
3,male,246.75,4,5,manager,2,married,15943.72,41453.67
4,male,69.53,2,2,research scientist,3,single,4492.84,11681.39
4,female,69.53,3,2,laboratory technician,3,married,4492.84,11681.39
4,male,36.25,3,1,laboratory technician,3,married,2342.59,6090.75
3,female,155.16,2,4,sales executive,4,,10025.83,26067.17
1,female,198.96,2,4,manager,4,married,12855.83,33425.17
4,male,129.06,3,3,sales executive,3,single,8339.32,21682.23
3,female,69.53,3,2,laboratory technician,4,,4492.84,11681.39
2,male,129.06,3,3,sales executive,1,married,8339.32,21682.23
1,male,79.47,3,2,manufacturing director,4,married,5135.0,13351.0
4,male,66.11,2,2,laboratory technician,4,married,4271.67,11106.33
3,male,124.05,2,3,sales executive,4,,8015.83,20841.17
3,female,69.53,2,2,sales executive,2,,4492.84,11681.39
2,male,64.61,3,2,sales executive,3,single,4175.0,10855.0
3,male,129.06,3,3,sales executive,2,married,8339.32,21682.23
2,female,129.06,3,3,sales executive,4,single,8339.32,21682.23
1,male,36.25,3,1,research scientist,3,divorced,2342.59,6090.75
4,female,245.47,3,5,manager,3,,15860.83,41238.17
1,male,197.85,2,4,manager,4,married,12783.92,33238.2
4,male,134.13,1,3,sales executive,4,married,8666.67,22533.33
3,male,129.06,2,3,manufacturing director,3,,8339.32,21682.23
2,male,129.06,3,3,research director,4,,8339.32,21682.23
1,male,36.02,3,1,sales representative,4,divorced,2327.5,6051.5
1,male,69.53,3,2,research scientist,4,,4492.84,11681.39
2,female,73.18,3,2,laboratory technician,2,married,4728.33,12293.67
4,male,69.53,2,2,sales executive,3,married,4492.84,11681.39
1,female,129.06,2,3,research director,2,,8339.32,21682.23
4,female,69.53,3,2,research scientist,4,married,4492.84,11681.39
2,male,247.58,3,5,manager,3,,15997.5,41593.5
1,female,246.75,3,5,manager,1,,15943.72,41453.67
3,female,108.49,3,3,sales executive,1,,7010.0,18226.0
3,male,129.06,3,3,manufacturing director,2,divorced,8339.32,21682.23
1,male,43.18,3,1,research scientist,1,single,2790.0,7254.0
4,male,36.25,4,1,laboratory technician,3,married,2342.59,6090.75
1,male,68.47,3,2,laboratory technician,4,,4424.17,11502.83
2,male,69.53,3,2,manufacturing director,2,,4492.84,11681.39
3,female,98.71,3,3,sales executive,4,married,6378.33,16583.67
3,male,165.18,2,3,research director,4,divorced,10673.33,27750.67
1,male,69.53,4,2,sales executive,1,divorced,4492.84,11681.39
3,female,197.85,2,4,manufacturing director,4,married,12783.92,33238.2
2,male,69.53,3,2,sales executive,2,,4492.84,11681.39
3,male,84.94,3,2,healthcare representative,4,,5488.33,14269.67
4,female,69.53,3,2,sales executive,3,,4492.84,11681.39
3,male,32.49,3,1,laboratory technician,3,single,2099.17,5457.83
4,male,220.52,3,4,manager,4,married,14249.17,37047.83
4,male,197.85,3,4,manager,3,single,12783.92,33238.2
4,male,69.53,3,2,laboratory technician,1,,4492.84,11681.39
4,female,129.06,2,3,manufacturing director,4,,8339.32,21682.23
4,male,169.21,2,4,sales executive,2,,10933.33,28426.67
4,female,129.06,2,3,sales executive,1,,8339.32,21682.23
2,female,40.38,3,1,laboratory technician,4,married,2609.17,6783.83
4,female,69.53,2,2,manufacturing director,4,married,4492.84,11681.39
4,male,129.06,4,3,sales executive,3,,8339.32,21682.23
3,female,57.31,3,2,laboratory technician,2,divorced,3703.33,9628.67
3,female,86.07,1,2,laboratory technician,4,married,5561.67,14460.33
4,female,127.06,3,3,sales executive,3,,8210.0,21346.0
3,male,230.35,3,4,manager,3,,14884.17,38698.83
3,male,69.53,3,2,research scientist,4,single,4492.84,11681.39
3,female,69.53,3,2,sales executive,1,single,4492.84,11681.39
4,female,246.75,3,5,research director,1,,15943.72,41453.67
3,female,96.03,4,3,manufacturing director,2,,6205.0,16133.0
4,male,177.42,2,3,research director,2,,11464.17,29806.83
4,male,214.06,4,4,research director,2,single,13831.67,35962.33
2,male,197.85,3,4,research director,1,,12783.92,33238.2
4,female,129.06,2,3,healthcare representative,2,single,8339.32,21682.23
1,male,55.26,3,2,research scientist,4,married,3570.83,9284.17
4,male,130.57,3,3,healthcare representative,4,,8436.67,21935.33
1,male,129.06,3,3,healthcare representative,2,divorced,8339.32,21682.23
2,male,125.28,2,2,sales executive,1,married,8095.0,21047.0
3,male,127.99,3,2,sales executive,2,married,8270.0,21502.0
2,male,145.02,3,4,healthcare representative,3,,9370.83,24364.17
3,male,39.58,2,2,laboratory technician,3,,2557.5,6649.5
4,female,69.53,3,2,research scientist,2,,4492.84,11681.39
2,female,197.85,3,4,manager,3,,12783.92,33238.2
4,male,119.18,3,3,sales executive,3,,7700.83,20022.17
4,male,83.47,3,2,laboratory technician,4,married,5393.33,14022.67
2,male,246.75,3,5,manager,2,,15943.72,41453.67
4,male,39.4,3,2,research scientist,2,,2545.83,6619.17
4,male,107.31,3,3,healthcare representative,1,,6934.17,18028.83
4,male,40.53,4,1,research scientist,1,married,2619.17,6809.83
2,male,69.53,4,2,sales executive,3,,4492.84,11681.39
4,male,36.25,3,1,laboratory technician,4,married,2342.59,6090.75
4,male,110.63,3,3,manufacturing director,4,divorced,7148.33,18585.67
2,female,69.53,2,2,sales representative,3,married,4492.84,11681.39
2,male,54.13,3,2,laboratory technician,3,divorced,3497.5,9093.5
2,female,69.53,2,2,manufacturing director,4,,4492.84,11681.39
1,male,127.52,3,3,sales executive,4,,8240.0,21424.0
4,male,69.53,1,2,research scientist,1,married,4492.84,11681.39
3,female,69.53,3,2,sales executive,4,,4492.84,11681.39
2,male,172.06,3,4,sales executive,1,single,11117.5,28905.5
2,female,73.22,3,2,sales executive,2,married,4730.83,12300.17
4,male,36.25,3,1,laboratory technician,2,married,2342.59,6090.75
3,female,129.06,3,3,research director,2,married,8339.32,21682.23
1,male,36.25,3,1,sales representative,4,divorced,2342.59,6090.75
3,male,69.53,2,2,research scientist,2,married,4492.84,11681.39
1,female,37.52,3,1,research scientist,3,married,2424.17,6302.83
4,male,36.25,3,1,laboratory technician,4,,2342.59,6090.75
4,male,122.86,2,3,manufacturing director,3,,7938.33,20639.67
3,male,69.53,3,2,healthcare representative,3,,4492.84,11681.39
3,male,88.02,3,2,sales executive,2,,5687.5,14787.5
4,male,69.53,3,2,laboratory technician,4,divorced,4492.84,11681.39
3,female,57.06,3,2,manufacturing director,4,single,3686.67,9585.33
3,male,70.17,3,2,sales executive,4,,4534.17,11788.83
1,male,78.34,1,2,laboratory technician,3,,5061.67,13160.33
2,female,129.06,3,3,sales executive,4,,8339.32,21682.23
1,male,36.25,1,1,research scientist,3,divorced,2342.59,6090.75
1,male,79.26,3,2,sales executive,2,married,5121.67,13316.33
2,male,79.6,1,2,sales executive,3,married,5143.33,13372.67
3,male,129.06,3,3,sales executive,3,divorced,8339.32,21682.23
3,female,36.25,3,1,human resources,3,,2342.59,6090.75
4,male,60.2,1,2,sales executive,4,divorced,3890.0,10114.0
2,female,72.29,3,2,research scientist,2,divorced,4670.83,12144.17
2,male,69.53,3,2,sales representative,3,,4492.84,11681.39
4,male,55.7,3,2,manufacturing director,3,married,3599.17,9357.83
4,male,36.25,3,1,laboratory technician,2,,2342.59,6090.75
4,female,36.25,3,1,research scientist,2,,2342.59,6090.75
4,female,197.85,3,4,healthcare representative,2,single,12783.92,33238.2
4,female,36.25,3,1,research scientist,2,single,2342.59,6090.75
2,male,45.96,4,1,research scientist,1,,2970.0,7722.0
4,male,80.75,3,2,manufacturing director,4,married,5217.5,13565.5
4,male,87.75,3,2,manufacturing director,4,divorced,5670.0,14742.0
4,female,69.53,3,2,sales executive,3,single,4492.84,11681.39
4,female,129.06,2,3,sales executive,4,single,8339.32,21682.23
3,female,129.06,3,3,sales executive,3,single,8339.32,21682.23
1,female,36.25,3,1,laboratory technician,1,,2342.59,6090.75
1,male,246.75,2,5,manager,3,,15943.72,41453.67
1,male,250.66,3,5,research director,3,,16196.67,42111.33
4,male,69.53,2,2,sales executive,4,,4492.84,11681.39
2,female,197.85,1,4,manager,2,married,12783.92,33238.2
3,male,197.85,3,4,healthcare representative,4,married,12783.92,33238.2
1,male,129.06,3,3,manager,2,married,8339.32,21682.23
2,female,129.06,4,3,manager,2,divorced,8339.32,21682.23
2,male,69.53,3,2,sales executive,4,single,4492.84,11681.39
2,male,69.53,3,2,laboratory technician,4,married,4492.84,11681.39
4,male,75.16,2,2,sales executive,4,single,4856.67,12627.33
2,male,69.53,4,2,sales executive,4,,4492.84,11681.39
3,female,31.66,3,1,laboratory technician,4,,2045.83,5319.17
4,male,69.53,3,2,sales executive,4,,4492.84,11681.39
1,female,65.19,4,2,research scientist,4,single,4212.5,10952.5
2,male,60.38,2,2,sales executive,4,,3901.67,10144.33
3,female,67.8,2,2,laboratory technician,3,divorced,4380.83,11390.17
2,male,27.33,1,1,laboratory technician,1,,1765.83,4591.17
2,female,69.53,3,2,sales executive,2,,4492.84,11681.39
4,female,69.53,2,2,sales executive,2,divorced,4492.84,11681.39
3,male,77.05,4,2,research scientist,1,divorced,4978.33,12943.67
3,male,69.53,3,2,sales executive,3,,4492.84,11681.39
4,female,36.25,4,1,laboratory technician,3,married,2342.59,6090.75
1,male,69.53,3,2,sales executive,2,,4492.84,11681.39
3,female,69.53,3,2,sales executive,4,,4492.84,11681.39
4,female,39.13,3,1,laboratory technician,1,,2528.33,6573.67
3,female,170.39,4,4,sales executive,1,married,11010.0,28626.0
2,male,108.23,4,3,sales executive,1,married,6993.33,18182.67
3,female,69.53,3,2,manufacturing director,3,,4492.84,11681.39
3,female,36.25,3,1,laboratory technician,4,single,2342.59,6090.75
4,male,129.06,3,3,healthcare representative,3,,8339.32,21682.23
2,female,52.25,3,2,sales executive,4,married,3375.83,8777.17
4,male,61.97,3,2,sales executive,2,,4004.17,10410.83
2,female,35.35,3,1,human resources,3,,2284.17,5938.83
1,female,69.53,2,2,healthcare representative,3,single,4492.84,11681.39
4,male,68.83,4,2,sales executive,4,single,4447.5,11563.5
1,male,69.53,4,2,sales executive,4,divorced,4492.84,11681.39
4,male,69.53,3,2,laboratory technician,3,divorced,4492.84,11681.39
4,female,69.53,3,2,sales executive,1,single,4492.84,11681.39
3,male,121.67,3,3,manufacturing director,3,married,7861.67,20440.33
3,male,129.06,3,3,human resources,2,,8339.32,21682.23
4,female,69.53,2,2,sales executive,4,,4492.84,11681.39
2,male,36.25,1,1,research scientist,4,divorced,2342.59,6090.75
4,female,129.06,2,3,healthcare representative,2,,8339.32,21682.23
4,female,69.53,2,2,healthcare representative,3,single,4492.84,11681.39
4,male,69.59,3,2,sales executive,4,,4496.67,11691.33
2,female,69.53,4,2,healthcare representative,4,,4492.84,11681.39
3,female,129.06,3,3,manufacturing director,1,married,8339.32,21682.23
3,female,143.92,3,3,research director,4,single,9299.17,24177.83
4,male,63.97,3,2,sales executive,1,single,4133.33,10746.67
4,male,113.4,3,3,manufacturing director,1,,7327.5,19051.5
4,male,247.48,2,5,manager,3,,15990.83,41576.17
3,female,28.58,1,1,research scientist,2,,1846.67,4801.33
1,female,151.06,4,3,research director,1,married,9760.83,25378.17
3,male,68.4,3,2,sales executive,4,divorced,4420.0,11492.0
3,male,143.19,3,4,healthcare representative,4,married,9252.5,24056.5
2,male,85.53,1,2,sales representative,3,single,5526.67,14369.33
1,male,97.85,2,3,sales executive,1,single,6322.5,16438.5
2,female,55.91,3,2,healthcare representative,3,married,3612.5,9392.5
1,female,77.12,4,2,manufacturing director,1,single,4983.33,12956.67
1,female,54.73,4,2,healthcare representative,2,,3536.67,9195.33
2,male,246.75,3,5,manager,4,,15943.72,41453.67
3,female,67.42,3,2,manufacturing director,2,,4356.67,11327.33
3,male,34.82,4,1,research scientist,3,married,2250.0,5850.0
3,male,69.53,3,2,sales executive,4,single,4492.84,11681.39
2,female,69.53,3,2,sales executive,2,,4492.84,11681.39
3,female,30.51,2,1,research scientist,3,married,1971.67,5126.33
2,male,36.25,3,1,research scientist,1,,2342.59,6090.75
2,female,36.25,1,1,laboratory technician,4,divorced,2342.59,6090.75
2,male,30.04,2,1,sales representative,3,,1940.83,5046.17
2,male,55.38,2,2,sales executive,1,,3578.33,9303.67
4,female,69.53,3,2,healthcare representative,4,,4492.84,11681.39
3,female,86.73,3,2,manufacturing director,1,married,5604.17,14570.83
3,male,133.16,2,3,sales executive,4,married,8604.17,22370.83
4,male,57.35,3,2,laboratory technician,2,,3705.83,9635.17
1,male,129.06,4,3,sales executive,3,single,8339.32,21682.23
1,male,69.53,3,2,sales executive,4,divorced,4492.84,11681.39
4,male,139.87,3,3,manufacturing director,3,,9037.5,23497.5
3,female,129.06,3,3,manufacturing director,3,,8339.32,21682.23
2,female,129.06,4,3,research director,1,,8339.32,21682.23
4,male,70.57,4,2,manufacturing director,4,married,4560.0,11856.0
3,male,82.35,3,2,healthcare representative,2,married,5320.83,13834.17
4,female,81.86,3,2,sales executive,3,married,5289.17,13751.83
4,female,36.25,3,1,laboratory technician,3,single,2342.59,6090.75
3,female,97.05,2,3,sales executive,2,,6270.83,16304.17
3,male,69.53,3,2,sales executive,1,married,4492.84,11681.39
3,male,197.85,2,4,manager,1,single,12783.92,33238.2
2,male,129.06,2,3,healthcare representative,1,single,8339.32,21682.23
3,female,47.2,3,2,research scientist,3,single,3050.0,7930.0
4,male,129.06,3,3,sales executive,1,,8339.32,21682.23
3,female,69.53,2,2,research scientist,3,single,4492.84,11681.39
4,male,36.25,3,1,laboratory technician,4,married,2342.59,6090.75
3,male,112.72,2,3,sales executive,3,,7283.33,18936.67
1,female,129.06,3,3,manufacturing director,2,,8339.32,21682.23
3,female,129.06,3,3,manufacturing director,1,married,8339.32,21682.23
1,male,197.85,3,4,healthcare representative,4,,12783.92,33238.2
3,male,246.75,2,5,research director,3,,15943.72,41453.67
2,male,69.53,2,2,manufacturing director,4,married,4492.84,11681.39
2,female,174.09,3,3,research director,3,,11249.17,29247.83
1,male,36.25,4,1,laboratory technician,4,,2342.59,6090.75
3,male,129.06,2,3,manufacturing director,2,divorced,8339.32,21682.23
4,female,246.75,3,5,manager,3,divorced,15943.72,41453.67
3,male,69.53,3,2,sales executive,1,,4492.84,11681.39
2,female,69.53,3,2,sales executive,3,,4492.84,11681.39
3,male,36.25,1,1,laboratory technician,3,divorced,2342.59,6090.75
3,male,45.02,3,2,laboratory technician,3,divorced,2909.17,7563.83
2,male,67.32,4,2,sales executive,4,divorced,4350.0,11310.0
4,female,69.53,3,2,research scientist,3,single,4492.84,11681.39
3,female,132.22,1,3,manufacturing director,1,divorced,8543.33,22212.67
1,male,36.25,3,1,research scientist,1,,2342.59,6090.75
3,male,254.58,1,5,research director,4,,16450.0,42770.0
4,female,197.85,2,4,research director,4,divorced,12783.92,33238.2
2,male,129.06,3,3,manufacturing director,4,single,8339.32,21682.23
4,female,129.06,2,3,sales executive,4,single,8339.32,21682.23
1,female,129.06,3,3,healthcare representative,4,married,8339.32,21682.23
2,female,36.25,3,1,laboratory technician,3,divorced,2342.59,6090.75
3,male,80.08,4,2,sales executive,4,married,5174.17,13452.83
4,female,91.49,3,3,healthcare representative,3,married,5911.67,15370.33
2,male,129.06,3,3,sales executive,2,single,8339.32,21682.23
1,male,58.47,3,2,manufacturing director,3,single,3778.33,9823.67
4,male,109.62,3,3,healthcare representative,4,,7083.33,18416.67
2,female,69.53,3,2,sales executive,1,,4492.84,11681.39
1,female,59.83,4,2,sales executive,1,married,3865.83,10051.17
4,female,69.17,2,2,laboratory technician,4,,4469.17,11619.83
1,male,197.85,4,4,sales executive,3,,12783.92,33238.2
2,male,69.53,3,2,laboratory technician,3,,4492.84,11681.39
1,female,52.63,2,2,research scientist,3,single,3400.83,8842.17
3,female,197.85,3,4,manager,1,married,12783.92,33238.2
3,male,46.14,4,1,laboratory technician,1,single,2981.67,7752.33
3,female,129.06,3,3,healthcare representative,4,single,8339.32,21682.23
4,female,223.48,3,4,research director,4,,14440.0,37544.0
2,male,197.85,4,4,research director,4,divorced,12783.92,33238.2
3,male,69.53,3,2,laboratory technician,3,,4492.84,11681.39
1,male,139.2,3,3,sales executive,4,divorced,8994.17,23384.83
1,male,129.06,3,3,sales executive,4,divorced,8339.32,21682.23
2,male,139.94,1,3,healthcare representative,1,,9042.5,23510.5
3,male,134.98,3,3,healthcare representative,2,divorced,8721.67,22676.33
3,male,69.53,2,2,sales executive,3,,4492.84,11681.39
1,male,30.46,2,1,research scientist,1,single,1968.33,5117.67
3,female,69.53,1,2,healthcare representative,1,,4492.84,11681.39
3,male,197.85,3,4,manager,4,single,12783.92,33238.2
3,female,83.04,3,2,sales executive,3,divorced,5365.83,13951.17
3,female,129.06,2,3,manufacturing director,4,married,8339.32,21682.23
2,female,246.75,3,5,research director,4,,15943.72,41453.67
3,female,74.4,1,2,laboratory technician,1,,4807.5,12499.5
1,male,56.55,2,2,sales executive,1,,3654.17,9500.83
3,male,69.53,4,2,manufacturing director,4,,4492.84,11681.39
2,male,69.53,3,2,manufacturing director,1,,4492.84,11681.39
3,male,52.44,2,1,laboratory technician,1,divorced,3388.33,8809.67
4,female,69.53,2,2,manufacturing director,4,divorced,4492.84,11681.39
1,male,69.53,3,2,human resources,4,married,4492.84,11681.39
