,Unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
62,62,35,no,,685.7,,6,4,,1,63,2,male,,1,2,research scientist,4,,5538.33,14399.67,1,y,,13,3.0,2,full time,0,,3,3.0,17,,11,8,5538.33,1988,66460.0,,,yes
63,63,33,no,travel_frequently,556.26,,6,3,life sciences,1,64,3,male,,3,2,healthcare representative,4,divorced,4492.84,11681.39,3,y,no,23,4.0,3,part time,1,15.0,2,1.0,13,,4,7,4492.84,1990,53914.11,,,no
64,64,50,no,travel_rarely,1441.66,research & development,24,3,,1,65,4,male,,3,4,manufacturing director,3,married,,30274.83,3,y,yes,18,3.0,4,full time,1,22.0,2,3.0,12,,1,5,,1973,139730.0,manufacturing director  -  research & development,,no
65,65,48,no,travel_rarely,1032.49,,4,4,,1,66,3,male,,2,3,healthcare representative,3,single,,21682.23,7,y,,14,,2,part time,0,27.0,3,3.0,15,11.0,4,8,,1975,100071.84,,,yes
66,66,44,no,travel_rarely,1374.29,sales,28,3,,1,67,4,female,,4,4,sales executive,4,married,11100.0,28860.0,3,y,,18,3.0,3,,1,,2,3.0,12,,11,11,11100.0,1979,,sales executive  -  sales,,yes
67,67,44,no,travel_rarely,556.26,,29,4,,1,68,4,male,69.53208262471655,3,2,research scientist,4,single,,11681.39,1,y,,25,4.0,2,part time,0,,3,3.0,20,,13,17,,1979,53914.11,,,yes
68,68,40,no,,556.26,,25,1,,1,69,2,female,,4,2,healthcare representative,3,,,11681.39,5,y,no,20,4.0,2,part time,3,15.0,0,3.0,12,,11,8,,1983,53914.11,,,yes
69,69,34,no,travel_rarely,689.93,,2,4,,1,70,3,female,86.24107142857143,3,2,healthcare representative,4,single,5572.5,14488.5,1,y,,11,3.0,4,full time,0,14.0,2,4.0,14,,4,11,5572.5,1989,66870.0,,,yes
70,70,35,no,non-travel,556.26,research & development,8,4,,1,71,3,female,,3,2,healthcare representative,3,,4492.84,11681.39,1,y,,12,3.0,4,part time,1,,5,3.0,14,,2,9,4492.84,1988,53914.11,healthcare representative  -  research & development,,yes
71,71,50,no,,1032.49,,17,5,life sciences,1,72,4,female,,2,3,research director,1,,,21682.23,5,y,no,15,3.0,3,part time,3,,3,3.0,14,11.0,1,11,,1973,100071.84,,,no
72,72,49,no,,1582.77,,6,1,life sciences,1,73,3,female,197.8464183087028,2,4,healthcare representative,3,,12783.92,33238.2,2,y,,19,3.0,2,full time,1,,3,3.0,15,,2,12,12783.92,1974,153407.07,,,yes
73,73,38,no,travel_frequently,488.53,,1,3,life sciences,1,74,4,male,61.06646825396825,3,2,research scientist,4,,,10259.17,7,y,no,15,3.0,4,part time,2,19.0,4,,13,,2,9,,1985,47350.0,,,yes
74,74,33,no,,290.04,,21,3,,1,75,2,male,,4,1,laboratory technician,2,,,6090.75,1,y,no,18,3.0,4,part time,3,14.0,6,,14,,2,13,,1990,28111.13,,,yes
75,75,47,no,travel_rarely,1032.49,,4,3,life sciences,1,76,3,female,,2,3,manufacturing director,2,divorced,8339.32,21682.23,8,y,yes,12,,3,part time,1,,4,3.0,22,,14,10,8339.32,1976,100071.84,,,yes
76,76,38,no,,556.26,research & development,8,3,,1,77,4,female,,2,2,research scientist,2,divorced,4492.84,11681.39,1,y,,16,3.0,3,,1,20.0,3,3.0,20,,0,7,4492.84,1985,,research scientist  -  research & development,,no
77,77,37,no,travel_rarely,1032.49,,10,3,life sciences,1,78,3,female,,4,3,research director,4,,8339.32,21682.23,1,y,yes,25,4.0,1,part time,1,16.0,2,3.0,16,,6,8,8339.32,1986,100071.84,,,yes
78,78,30,no,,556.26,,2,3,,1,79,3,male,,2,2,healthcare representative,4,married,,11681.39,1,y,no,19,,1,part time,3,11.0,3,3.0,11,,10,8,,1993,53914.11,,,yes
79,79,58,no,travel_rarely,1431.24,,18,4,,1,80,4,male,,3,4,sales executive,3,single,11560.0,30056.0,0,y,,13,3.0,3,full time,0,38.0,1,2.0,37,,1,8,11560.0,1965,138720.0,,,yes
80,80,34,no,travel_rarely,1032.49,,5,3,,1,81,3,female,,2,3,manager,1,single,8339.32,21682.23,2,y,,12,3.0,4,,0,14.0,6,3.0,11,,5,8,8339.32,1989,,,,no
81,81,58,yes,travel_rarely,1032.49,,23,4,medical,1,82,4,female,,3,3,healthcare representative,4,married,8339.32,21682.23,1,y,,12,3.0,4,part time,1,40.0,3,2.0,40,,15,6,8339.32,1965,100071.84,,,yes
82,82,38,no,,1032.49,,3,3,life sciences,1,83,1,male,,3,3,sales executive,3,divorced,8339.32,21682.23,0,y,,12,3.0,3,,2,,6,2.0,16,,5,13,8339.32,1985,,,,yes
83,83,29,no,travel_frequently,1032.49,,1,1,,1,84,2,female,,3,3,sales executive,4,married,8339.32,21682.23,1,y,,14,3.0,4,part time,1,11.0,5,3.0,11,,4,1,8339.32,1994,100071.84,,,yes
84,84,55,no,travel_rarely,1964.96,,1,3,medical,1,85,4,male,245.6200396825397,3,5,manager,1,single,15870.83,41264.17,0,y,,14,3.0,3,full time,0,37.0,2,3.0,36,,4,13,15870.83,1968,190450.0,,,yes
85,85,41,no,,1652.34,,10,4,,1,86,4,male,,3,4,manager,2,,13345.83,34699.17,1,y,,19,3.0,2,,0,,2,3.0,22,,0,4,13345.83,1982,,,,yes
86,86,39,no,travel_rarely,991.82,research & development,1,3,,1,87,3,male,123.97718253968254,4,3,healthcare representative,4,,8010.83,20828.17,0,y,no,17,,1,part time,3,19.0,5,2.0,18,,3,7,8010.83,1984,96130.0,healthcare representative  -  research & development,,no
87,87,38,no,,1187.54,,15,2,life sciences,1,88,3,male,148.44246031746033,2,3,research director,4,,,24938.33,0,y,,14,3.0,2,full time,1,,3,3.0,11,,2,9,,1985,115100.0,,,yes
88,88,43,no,,1582.77,,12,3,,1,89,1,male,,2,4,research director,2,,12783.92,33238.2,1,y,no,11,3.0,3,full time,1,,3,,25,,3,9,12783.92,1980,153407.07,,,yes
89,89,31,no,,444.27,,30,2,,1,90,2,female,,3,2,manufacturing director,1,married,3588.33,9329.67,1,y,no,12,3.0,2,,1,13.0,5,1.0,13,,3,12,3588.33,1992,,,,yes
90,90,50,no,travel_rarely,1758.71,research & development,27,4,life sciences,1,91,2,male,,2,4,manager,3,married,14205.0,36933.0,0,y,no,15,3.0,2,full time,1,28.0,2,3.0,27,,15,7,14205.0,1973,170460.0,manager  -  research & development,,yes
91,91,35,no,,1032.49,,25,3,technical degree,1,92,4,male,129.06091077207583,2,3,manufacturing director,2,married,8339.32,21682.23,3,y,no,16,,1,part time,0,,2,3.0,13,,4,8,8339.32,1988,100071.84,,,no
92,92,47,no,,522.79,,16,4,,1,93,3,male,,4,2,manufacturing director,3,,4222.5,10978.5,1,y,yes,19,3.0,3,,0,20.0,3,,19,,2,7,4222.5,1976,,,,yes
93,93,35,no,,1032.49,research & development,25,4,,1,94,3,female,129.06091077207583,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,y,yes,11,,3,part time,1,,3,2.0,16,,10,1,8339.32,1988,100071.84,healthcare representative  -  research & development,,yes
94,94,40,no,travel_rarely,1032.49,,20,4,,1,95,1,male,129.06091077207583,3,3,healthcare representative,4,married,,21682.23,4,y,,20,4.0,4,part time,1,14.0,6,3.0,11,,11,1,,1983,100071.84,,,yes
95,95,45,no,,556.26,sales,9,4,life sciences,1,96,2,female,,2,2,sales executive,3,married,4492.84,11681.39,1,y,,13,3.0,4,part time,1,15.0,2,3.0,15,,4,12,4492.84,1978,53914.11,sales executive  -  sales,,no
96,96,33,no,,290.04,research & development,9,3,medical,1,97,1,male,,3,1,research scientist,4,married,,6090.75,0,y,,13,3.0,2,,1,15.0,5,3.0,14,,4,10,,1990,28111.13,research scientist  -  research & development,,no
97,97,36,no,travel_frequently,380.92,,3,3,,1,98,3,male,,3,1,research scientist,2,married,3076.67,7999.33,1,y,no,12,3.0,3,full time,0,12.0,2,2.0,11,,0,7,3076.67,1987,36920.0,,,no
98,98,45,yes,,1973.98,,13,3,marketing,1,99,1,female,246.74801587301585,1,5,manager,2,,15943.72,41453.67,2,y,yes,16,3.0,1,full time,0,26.0,2,3.0,24,,1,11,15943.72,1978,191324.62,,,yes
99,99,51,no,travel_frequently,2047.71,,27,3,,1,100,2,male,255.96329365079364,3,5,manager,2,,,43001.83,4,y,yes,24,,1,full time,1,,5,2.0,29,,11,10,,1972,198470.0,,,no
100,100,34,no,travel_rarely,238.13,,7,2,technical degree,1,101,2,male,,3,1,sales representative,3,,,5000.67,0,y,yes,25,4.0,2,part time,1,12.0,4,3.0,11,,5,7,,1989,23080.0,,,no
101,101,43,no,travel_rarely,1582.77,research & development,15,2,,1,102,3,male,,2,4,research director,3,,,33238.2,1,y,no,24,4.0,1,full time,1,,3,3.0,14,,6,11,,1980,153407.07,research director  -  research & development,,yes
102,102,34,no,,556.26,,5,2,medical,1,103,2,male,,2,2,laboratory technician,4,,4492.84,11681.39,1,y,no,14,3.0,3,part time,1,,3,,15,,4,13,4492.84,1989,53914.11,,,no
103,103,38,no,,290.04,,2,3,,1,104,1,male,,3,1,human resources,2,divorced,2342.59,6090.75,5,y,no,13,3.0,4,part time,3,13.0,3,3.0,11,,3,8,2342.59,1985,28111.13,,,yes
104,104,48,no,,1973.98,,10,3,,1,105,4,male,,2,5,research director,2,,,41453.67,4,y,no,12,3.0,4,full time,0,29.0,3,3.0,22,,12,9,,1975,191324.62,,,no
105,105,34,no,,592.94,research & development,22,4,other,1,106,3,male,,2,2,research scientist,4,married,4789.17,12451.83,1,y,yes,15,3.0,2,full time,0,16.0,3,3.0,15,,6,11,4789.17,1989,57470.0,research scientist  -  research & development,,no
106,106,32,no,travel_rarely,1075.29,,31,4,,1,107,3,female,134.41071428571428,3,3,sales executive,4,,8685.0,22581.0,1,y,no,19,3.0,3,full time,2,14.0,3,3.0,14,,5,7,8685.0,1991,104220.0,,,yes
107,107,29,no,travel_rarely,1032.49,,21,4,life sciences,1,108,2,female,,4,3,manufacturing director,1,divorced,8339.32,21682.23,1,y,no,11,3.0,3,,1,10.0,1,3.0,10,,8,8,8339.32,1994,,,,no
108,108,46,no,,1032.49,,1,3,medical,1,109,3,male,,2,3,healthcare representative,1,married,,21682.23,2,y,yes,13,3.0,3,,1,21.0,5,2.0,10,,9,5,,1977,100071.84,,,no
109,109,30,no,,654.85,human resources,9,3,,1,110,3,male,,3,2,human resources,4,married,5289.17,13751.83,0,y,yes,19,3.0,4,full time,0,,2,1.0,11,,4,7,5289.17,1993,63470.0,human resources  -  human resources,,no
110,110,45,no,,242.25,,9,3,life sciences,1,111,2,male,,3,2,laboratory technician,2,,1956.67,5087.33,8,y,no,18,3.0,3,part time,1,20.0,2,,17,,0,15,1956.67,1978,23480.0,,,yes
111,111,30,no,travel_rarely,1032.49,,5,3,,1,112,2,female,129.06091077207583,3,3,sales executive,4,,8339.32,21682.23,2,y,no,12,3.0,3,part time,1,,2,3.0,10,,7,4,8339.32,1993,100071.84,,,yes
112,112,30,no,,316.95,,9,3,,1,113,3,male,,3,2,laboratory technician,1,,,6656.0,1,y,no,11,,3,part time,2,12.0,4,3.0,12,,6,10,,1993,30720.0,,,yes
113,113,34,no,travel_frequently,556.26,,29,1,,1,114,4,male,,2,2,manufacturing director,3,married,4492.84,11681.39,1,y,,17,3.0,3,,0,10.0,2,2.0,10,,1,9,4492.84,1989,,,,no
114,114,51,no,travel_rarely,1288.65,,8,4,life sciences,1,115,2,male,,2,3,research director,2,married,10408.33,27061.67,5,y,no,16,3.0,4,full time,2,16.0,5,1.0,10,,4,7,10408.33,1972,124900.0,,,no
115,115,34,no,,556.26,,39,4,life sciences,1,116,3,male,69.53208262471655,2,2,manufacturing director,1,,4492.84,11681.39,6,y,,13,3.0,2,part time,1,13.0,3,3.0,11,,5,9,4492.84,1989,53914.11,,,yes
116,116,35,no,travel_rarely,827.46,,16,3,,1,117,3,male,,3,3,sales executive,2,married,6683.33,17376.67,0,y,,15,3.0,3,part time,2,12.0,3,2.0,11,,6,9,6683.33,1988,80200.0,,,yes
117,117,45,no,travel_frequently,1032.49,,7,3,life sciences,1,118,1,male,,3,3,laboratory technician,1,,8339.32,21682.23,1,y,,18,3.0,1,part time,1,24.0,2,3.0,24,,9,11,8339.32,1978,100071.84,,,yes
118,118,39,no,,1760.98,,10,1,,1,119,3,male,,3,4,manager,1,married,,36980.67,1,y,,14,,4,full time,0,21.0,3,3.0,21,,11,10,,1984,170680.0,,,yes
119,119,31,no,,922.69,,7,2,,1,120,3,female,,2,3,manufacturing director,3,married,7452.5,19376.5,1,y,no,24,4.0,1,part time,1,10.0,2,3.0,10,,8,9,7452.5,1992,89430.0,,,no
120,120,39,no,,1988.38,research & development,7,2,,1,121,3,male,,2,5,manager,4,married,16060.0,41756.0,1,y,,15,3.0,1,full time,1,,2,3.0,21,,13,3,16060.0,1984,192720.0,manager  -  research & development,,yes
121,121,45,no,travel_rarely,556.26,,8,4,,1,122,4,male,69.53208262471655,3,2,research scientist,4,,4492.84,11681.39,9,y,no,14,3.0,1,part time,2,12.0,3,3.0,10,,9,8,4492.84,1978,53914.11,,,yes
122,122,30,no,travel_rarely,556.26,sales,5,3,marketing,1,123,4,female,,2,2,sales executive,3,,4492.84,11681.39,1,y,,13,3.0,3,,3,10.0,2,3.0,10,,1,2,4492.84,1993,,sales executive  -  sales,,yes
123,123,31,no,,1032.49,,7,4,medical,1,124,3,female,129.06091077207583,3,3,manufacturing director,4,,8339.32,21682.23,1,y,,14,3.0,3,part time,0,11.0,2,2.0,11,,4,10,8339.32,1992,100071.84,,,no
