age,attrition,businesstravel,dailyrate,department,education,educationfield,employeecount,employeenumber,distancefromhome(miles),environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
34,no,travel_rarely,556.26,,4,other,1,35,6,1,female,69.53,3,2,research scientist,3,single,4492.84,11681.39,1,y,no,14,3.0,3,parttime,0,16.0,3,3.0,16,,2,10,4492.84,1989,,,,yes
46,no,travel_rarely,1032.49,,2,,1,36,1,2,female,129.06,3,3,sales executive,1,divorced,8339.32,21682.23,1,y,no,25,4.0,3,parttime,3,24.0,2,3.0,24,,15,7,8339.32,1977,100071.84,,,yes
43,no,,1657.4,,3,,1,37,16,4,female,207.17,3,4,manager,4,married,13386.67,34805.33,5,y,no,22,4.0,3,fulltime,1,22.0,3,3.0,17,,1,9,,1980,160640.0,,,yes
36,no,,331.19,research & development,3,life sciences,1,38,6,4,male,41.4,3,1,laboratory technician,4,married,2675.0,6955.0,0,y,no,11,3.0,3,fulltime,1,16.0,4,3.0,15,,10,11,2675.0,1987,32100.0,laboratory technician  -  research & development,,yes
60,no,travel_frequently,1059.19,,3,,1,39,28,3,female,132.4,2,3,sales executive,1,married,8555.0,22243.0,4,y,no,19,3.0,4,fulltime,0,22.0,5,4.0,18,13.0,13,11,8555.0,1963,102660.0,,,yes
40,no,travel_frequently,1080.75,,4,,1,40,5,4,male,135.09,2,3,sales executive,1,married,8729.17,22695.83,5,y,yes,21,4.0,3,fulltime,1,20.0,2,3.0,18,,1,12,8729.17,1983,104750.0,,,no
32,no,travel_rarely,635.76,,3,,1,41,4,3,female,79.47,2,2,manufacturing director,3,married,5135.0,13351.0,1,y,no,12,3.0,3,fulltime,1,14.0,3,3.0,14,,6,8,,1991,61620.0,,,no
41,no,travel_rarely,487.09,,3,,1,42,35,3,male,60.89,3,1,laboratory technician,1,single,3934.17,10228.83,2,y,yes,13,,3,fulltime,0,20.0,3,3.0,18,,2,17,3934.17,1982,47210.0,,,yes
53,no,,1582.77,,2,medical,1,43,2,3,male,197.85,3,4,manager,3,divorced,12783.92,33238.2,6,y,no,13,3.0,3,fulltime,1,22.0,3,4.0,17,,15,2,12783.92,1970,153407.07,,,no
36,yes,travel_rarely,290.04,,4,,1,44,16,3,female,36.25,4,1,laboratory technician,1,single,2342.59,6090.75,1,y,no,16,3.0,3,parttime,0,18.0,1,3.0,17,,15,14,,1987,28111.13,,,yes
46,no,,476.15,,4,life sciences,1,45,8,4,female,59.52,2,2,research scientist,1,divorced,3845.83,9999.17,8,y,yes,23,4.0,1,parttime,3,11.359610274579271,2,3.0,16,,1,7,3845.83,1977,46150.0,,,no
38,no,travel_rarely,556.26,,4,,1,46,1,4,male,69.53,3,2,sales executive,2,married,4492.84,11681.39,0,y,no,15,3.0,1,parttime,2,16.0,3,3.0,15,,5,8,4492.84,1985,53914.11,,,yes
51,no,,1032.49,,4,,1,47,1,1,female,129.06,2,3,healthcare representative,1,single,8339.32,21682.23,3,y,no,20,4.0,3,parttime,0,23.0,1,2.0,13,,12,8,8339.32,1972,100071.84,,,yes
43,no,,1749.74,,2,,1,48,26,3,male,218.72,3,4,manager,4,married,14132.5,36744.5,1,y,yes,12,3.0,4,fulltime,2,25.0,3,4.0,25,,4,12,14132.5,1980,169590.0,,,yes
37,no,,290.04,,3,life sciences,1,49,1,4,female,36.25,3,1,research scientist,4,single,2342.59,6090.75,1,y,no,12,3.0,2,parttime,0,11.359610274579271,3,3.0,17,,5,7,,1986,28111.13,,,yes
32,no,travel_rarely,556.26,,2,technical degree,1,50,8,3,female,69.53,2,2,sales executive,2,married,4492.84,11681.39,1,y,yes,11,3.0,4,parttime,0,11.359610274579271,2,3.0,13,12.0,11,9,,1991,53914.11,,,yes
38,no,,1032.49,,3,,1,51,1,4,female,129.06,3,3,research director,1,married,8339.32,21682.23,1,y,no,13,3.0,2,parttime,1,15.0,3,3.0,15,,5,11,8339.32,1985,100071.84,,,no
46,no,,1582.77,,3,life sciences,1,52,3,3,female,197.85,3,4,manager,2,,12783.92,33238.2,8,y,no,12,3.0,4,fulltime,1,23.0,2,4.0,13,,5,1,12783.92,1977,153407.07,,,yes
35,yes,travel_rarely,1063.32,,3,medical,1,53,10,4,male,132.91,2,3,sales executive,1,married,8588.33,22329.67,9,y,no,17,3.0,3,parttime,0,15.0,3,3.0,13,,6,0,8588.33,1988,,,,no
43,no,,1973.98,,3,medical,1,54,6,1,female,246.75,2,5,manager,3,married,15943.72,41453.67,7,y,no,13,3.0,4,parttime,0,21.0,2,3.0,16,,6,14,15943.72,1980,,,,yes
56,no,non-travel,556.26,,4,life sciences,1,55,1,3,male,69.53,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,y,no,21,,1,parttime,1,11.359610274579271,2,2.0,13,,1,9,4492.84,1967,,,,yes
36,no,non-travel,557.76,,4,marketing,1,56,15,4,male,69.72,1,2,sales executive,4,divorced,4505.0,11713.0,1,y,no,24,4.0,1,fulltime,1,11.359610274579271,4,2.0,15,,11,11,4505.0,1987,54060.0,,,yes
38,no,,556.26,,3,medical,1,57,6,2,female,69.53,1,2,research scientist,4,,4492.84,11681.39,7,y,no,12,3.0,4,parttime,3,17.0,3,3.0,13,,1,9,,1985,53914.11,,,yes
49,no,,556.26,,4,medical,1,58,26,3,female,69.53,3,2,manufacturing director,1,,4492.84,11681.39,1,y,no,14,3.0,3,parttime,0,16.0,2,2.0,15,,5,11,,1974,53914.11,,,no
39,no,travel_rarely,608.94,,4,life sciences,1,59,4,4,female,76.12,2,2,sales executive,3,married,4918.33,12787.67,4,y,no,14,3.0,3,fulltime,1,17.0,1,4.0,15,,5,9,4918.33,1984,59020.0,,,yes
40,no,,1119.96,,4,,1,60,4,3,male,140.0,2,3,sales executive,4,married,9045.83,23519.17,7,y,no,11,,1,fulltime,1,15.0,2,2.0,12,,2,11,,1983,108550.0,,,yes
36,no,,610.17,,2,,1,61,5,4,male,76.27,3,2,laboratory technician,2,single,4928.33,12813.67,8,y,no,16,3.0,4,fulltime,0,16.0,3,4.0,13,,3,7,4928.33,1987,59140.0,,,yes
37,no,,556.26,,5,,1,62,25,2,female,69.53,3,2,research scientist,3,married,4492.84,11681.39,3,y,yes,15,3.0,1,parttime,2,15.0,2,3.0,13,,10,7,,1986,53914.11,,,no
35,no,,685.7,,4,,1,63,6,2,male,85.71,1,2,research scientist,4,,5538.33,14399.67,1,y,no,13,3.0,2,fulltime,0,11.359610274579271,3,3.0,17,,11,8,5538.33,1988,66460.0,,,yes
33,no,travel_frequently,556.26,,3,life sciences,1,64,6,3,male,69.53,3,2,healthcare representative,4,divorced,4492.84,11681.39,3,y,no,23,4.0,3,parttime,1,15.0,2,1.0,13,,4,7,4492.84,1990,53914.11,,,no
50,no,travel_rarely,1441.66,research & development,3,,1,65,24,4,male,180.21,3,4,manufacturing director,3,married,11644.17,30274.83,3,y,yes,18,3.0,4,fulltime,1,22.0,2,3.0,12,,1,5,,1973,139730.0,manufacturing director  -  research & development,,no
48,no,travel_rarely,1032.49,,4,,1,66,4,3,male,129.06,2,3,healthcare representative,3,single,8339.32,21682.23,7,y,no,14,,2,parttime,0,27.0,3,3.0,15,11.0,4,8,,1975,100071.84,,,yes
44,no,travel_rarely,1374.29,sales,3,,1,67,28,4,female,171.79,4,4,sales executive,4,married,11100.0,28860.0,3,y,no,18,3.0,3,parttime,1,11.359610274579271,2,3.0,12,,11,11,11100.0,1979,,sales executive  -  sales,,yes
44,no,travel_rarely,556.26,,4,,1,68,29,4,male,69.53,3,2,research scientist,4,single,4492.84,11681.39,1,y,no,25,4.0,2,parttime,0,11.359610274579271,3,3.0,20,,13,17,,1979,53914.11,,,yes
40,no,,556.26,,1,,1,69,25,2,female,69.53,4,2,healthcare representative,3,,4492.84,11681.39,5,y,no,20,4.0,2,parttime,3,15.0,0,3.0,12,,11,8,,1983,53914.11,,,yes
34,no,travel_rarely,689.93,,4,,1,70,2,3,female,86.24,3,2,healthcare representative,4,single,5572.5,14488.5,1,y,no,11,3.0,4,fulltime,0,14.0,2,4.0,14,,4,11,5572.5,1989,66870.0,,,yes
35,no,non-travel,556.26,research & development,4,,1,71,8,3,female,69.53,3,2,healthcare representative,3,,4492.84,11681.39,1,y,no,12,3.0,4,parttime,1,11.359610274579271,5,3.0,14,,2,9,4492.84,1988,53914.11,healthcare representative  -  research & development,,yes
50,no,,1032.49,,5,life sciences,1,72,17,4,female,129.06,2,3,research director,1,,8339.32,21682.23,5,y,no,15,3.0,3,parttime,3,11.359610274579271,3,3.0,14,11.0,1,11,,1973,100071.84,,,no
49,no,,1582.77,,1,life sciences,1,73,6,3,female,197.85,2,4,healthcare representative,3,,12783.92,33238.2,2,y,no,19,3.0,2,fulltime,1,11.359610274579271,3,3.0,15,,2,12,12783.92,1974,153407.07,,,yes
38,no,travel_frequently,488.53,,3,life sciences,1,74,1,4,male,61.07,3,2,research scientist,4,,3945.83,10259.17,7,y,no,15,3.0,4,parttime,2,19.0,4,3.0,13,,2,9,,1985,47350.0,,,yes
33,no,,290.04,,3,,1,75,21,2,male,36.25,4,1,laboratory technician,2,,2342.59,6090.75,1,y,no,18,3.0,4,parttime,3,14.0,6,3.0,14,,2,13,,1990,28111.13,,,yes
47,no,travel_rarely,1032.49,,3,life sciences,1,76,4,3,female,129.06,2,3,manufacturing director,2,divorced,8339.32,21682.23,8,y,yes,12,,3,parttime,1,11.359610274579271,4,3.0,22,,14,10,8339.32,1976,100071.84,,,yes
38,no,,556.26,research & development,3,,1,77,8,4,female,69.53,2,2,research scientist,2,divorced,4492.84,11681.39,1,y,no,16,3.0,3,parttime,1,20.0,3,3.0,20,,0,7,4492.84,1985,,research scientist  -  research & development,,no
37,no,travel_rarely,1032.49,,3,life sciences,1,78,10,3,female,129.06,4,3,research director,4,,8339.32,21682.23,1,y,yes,25,4.0,1,parttime,1,16.0,2,3.0,16,,6,8,8339.32,1986,100071.84,,,yes
30,no,,556.26,,3,,1,79,2,3,male,69.53,2,2,healthcare representative,4,married,4492.84,11681.39,1,y,no,19,,1,parttime,3,11.0,3,3.0,11,,10,8,,1993,53914.11,,,yes
58,no,travel_rarely,1431.24,,4,,1,80,18,4,male,178.9,3,4,sales executive,3,single,11560.0,30056.0,0,y,no,13,3.0,3,fulltime,0,38.0,1,2.0,37,,1,8,11560.0,1965,138720.0,,,yes
34,no,travel_rarely,1032.49,,3,,1,81,5,3,female,129.06,2,3,manager,1,single,8339.32,21682.23,2,y,no,12,3.0,4,parttime,0,14.0,6,3.0,11,,5,8,8339.32,1989,,,,no
58,yes,travel_rarely,1032.49,,4,medical,1,82,23,4,female,129.06,3,3,healthcare representative,4,married,8339.32,21682.23,1,y,no,12,3.0,4,parttime,1,40.0,3,2.0,40,,15,6,8339.32,1965,100071.84,,,yes
38,no,,1032.49,,3,life sciences,1,83,3,1,male,129.06,3,3,sales executive,3,divorced,8339.32,21682.23,0,y,no,12,3.0,3,parttime,2,11.359610274579271,6,2.0,16,,5,13,8339.32,1985,,,,yes
29,no,travel_frequently,1032.49,,1,,1,84,1,2,female,129.06,3,3,sales executive,4,married,8339.32,21682.23,1,y,no,14,3.0,4,parttime,1,11.0,5,3.0,11,,4,1,8339.32,1994,100071.84,,,yes
55,no,travel_rarely,1964.96,,3,medical,1,85,1,4,male,245.62,3,5,manager,1,single,15870.83,41264.17,0,y,no,14,3.0,3,fulltime,0,37.0,2,3.0,36,,4,13,15870.83,1968,190450.0,,,yes
41,no,,1652.34,,4,,1,86,10,4,male,206.54,3,4,manager,2,,13345.83,34699.17,1,y,no,19,3.0,2,parttime,0,11.359610274579271,2,3.0,22,,0,4,13345.83,1982,,,,yes
39,no,travel_rarely,991.82,research & development,3,,1,87,1,3,male,123.98,4,3,healthcare representative,4,,8010.83,20828.17,0,y,no,17,,1,parttime,3,19.0,5,2.0,18,,3,7,8010.83,1984,96130.0,healthcare representative  -  research & development,,no
38,no,,1187.54,,2,life sciences,1,88,15,3,male,148.44,2,3,research director,4,,9591.67,24938.33,0,y,no,14,3.0,2,fulltime,1,11.359610274579271,3,3.0,11,,2,9,,1985,115100.0,,,yes
43,no,,1582.77,,3,,1,89,12,1,male,197.85,2,4,research director,2,,12783.92,33238.2,1,y,no,11,3.0,3,fulltime,1,11.359610274579271,3,3.0,25,,3,9,12783.92,1980,153407.07,,,yes
31,no,,444.27,,2,,1,90,30,2,female,55.53,3,2,manufacturing director,1,married,3588.33,9329.67,1,y,no,12,3.0,2,parttime,1,13.0,5,1.0,13,,3,12,3588.33,1992,,,,yes
50,no,travel_rarely,1758.71,research & development,4,life sciences,1,91,27,2,male,219.84,2,4,manager,3,married,14205.0,36933.0,0,y,no,15,3.0,2,fulltime,1,28.0,2,3.0,27,,15,7,14205.0,1973,170460.0,manager  -  research & development,,yes
35,no,,1032.49,,3,technical degree,1,92,25,4,male,129.06,2,3,manufacturing director,2,married,8339.32,21682.23,3,y,no,16,,1,parttime,0,11.359610274579271,2,3.0,13,,4,8,8339.32,1988,100071.84,,,no
47,no,,522.79,,4,,1,93,16,3,male,65.35,4,2,manufacturing director,3,,4222.5,10978.5,1,y,yes,19,3.0,3,parttime,0,20.0,3,3.0,19,,2,7,4222.5,1976,,,,yes
35,no,,1032.49,research & development,4,,1,94,25,3,female,129.06,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,y,yes,11,,3,parttime,1,11.359610274579271,3,2.0,16,,10,1,8339.32,1988,100071.84,healthcare representative  -  research & development,,yes
40,no,travel_rarely,1032.49,,4,,1,95,20,1,male,129.06,3,3,healthcare representative,4,married,8339.32,21682.23,4,y,no,20,4.0,4,parttime,1,14.0,6,3.0,11,,11,1,,1983,100071.84,,,yes
45,no,,556.26,sales,4,life sciences,1,96,9,2,female,69.53,2,2,sales executive,3,married,4492.84,11681.39,1,y,no,13,3.0,4,parttime,1,15.0,2,3.0,15,,4,12,4492.84,1978,53914.11,sales executive  -  sales,,no
33,no,,290.04,research & development,3,medical,1,97,9,1,male,36.25,3,1,research scientist,4,married,2342.59,6090.75,0,y,no,13,3.0,2,parttime,1,15.0,5,3.0,14,,4,10,,1990,28111.13,research scientist  -  research & development,,no
36,no,travel_frequently,380.92,,3,,1,98,3,3,male,47.62,3,1,research scientist,2,married,3076.67,7999.33,1,y,no,12,3.0,3,fulltime,0,12.0,2,2.0,11,,0,7,3076.67,1987,36920.0,,,no
45,yes,,1973.98,,3,marketing,1,99,13,1,female,246.75,1,5,manager,2,,15943.72,41453.67,2,y,yes,16,3.0,1,fulltime,0,26.0,2,3.0,24,,1,11,15943.72,1978,191324.62,,,yes
51,no,travel_frequently,2047.71,,3,,1,100,27,2,male,255.96,3,5,manager,2,,16539.17,43001.83,4,y,yes,24,,1,fulltime,1,11.359610274579271,5,2.0,29,,11,10,,1972,198470.0,,,no
34,no,travel_rarely,238.13,,2,technical degree,1,101,7,2,male,29.77,3,1,sales representative,3,,1923.33,5000.67,0,y,yes,25,4.0,2,parttime,1,12.0,4,3.0,11,,5,7,,1989,23080.0,,,no
43,no,travel_rarely,1582.77,research & development,2,,1,102,15,3,male,197.85,2,4,research director,3,,12783.92,33238.2,1,y,no,24,4.0,1,fulltime,1,11.359610274579271,3,3.0,14,,6,11,,1980,153407.07,research director  -  research & development,,yes
34,no,,556.26,,2,medical,1,103,5,2,male,69.53,2,2,laboratory technician,4,,4492.84,11681.39,1,y,no,14,3.0,3,parttime,1,11.359610274579271,3,3.0,15,,4,13,4492.84,1989,53914.11,,,no
38,no,,290.04,,3,,1,104,2,1,male,36.25,3,1,human resources,2,divorced,2342.59,6090.75,5,y,no,13,3.0,4,parttime,3,13.0,3,3.0,11,,3,8,2342.59,1985,28111.13,,,yes
48,no,,1973.98,,3,,1,105,10,4,male,246.75,2,5,research director,2,,15943.72,41453.67,4,y,no,12,3.0,4,fulltime,0,29.0,3,3.0,22,,12,9,,1975,191324.62,,,no
34,no,,592.94,research & development,4,other,1,106,22,3,male,74.12,2,2,research scientist,4,married,4789.17,12451.83,1,y,yes,15,3.0,2,fulltime,0,16.0,3,3.0,15,,6,11,4789.17,1989,57470.0,research scientist  -  research & development,,no
32,no,travel_rarely,1075.29,,4,,1,107,31,3,female,134.41,3,3,sales executive,4,,8685.0,22581.0,1,y,no,19,3.0,3,fulltime,2,14.0,3,3.0,14,,5,7,8685.0,1991,104220.0,,,yes
29,no,travel_rarely,1032.49,,4,life sciences,1,108,21,2,female,129.06,4,3,manufacturing director,1,divorced,8339.32,21682.23,1,y,no,11,3.0,3,parttime,1,10.0,1,3.0,10,,8,8,8339.32,1994,,,,no
46,no,,1032.49,,3,medical,1,109,1,3,male,129.06,2,3,healthcare representative,1,married,8339.32,21682.23,2,y,yes,13,3.0,3,parttime,1,21.0,5,2.0,10,,9,5,,1977,100071.84,,,no
30,no,,654.85,human resources,3,,1,110,9,3,male,81.86,3,2,human resources,4,married,5289.17,13751.83,0,y,yes,19,3.0,4,fulltime,0,11.359610274579271,2,1.0,11,,4,7,5289.17,1993,63470.0,human resources  -  human resources,,no
45,no,,242.25,,3,life sciences,1,111,9,2,male,30.28,3,2,laboratory technician,2,,1956.67,5087.33,8,y,no,18,3.0,3,parttime,1,20.0,2,3.0,17,,0,15,1956.67,1978,23480.0,,,yes
30,no,travel_rarely,1032.49,,3,,1,112,5,2,female,129.06,3,3,sales executive,4,,8339.32,21682.23,2,y,no,12,3.0,3,parttime,1,11.359610274579271,2,3.0,10,,7,4,8339.32,1993,100071.84,,,yes
30,no,,316.95,,3,,1,113,9,3,male,39.62,3,2,laboratory technician,1,,2560.0,6656.0,1,y,no,11,,3,parttime,2,12.0,4,3.0,12,,6,10,,1993,30720.0,,,yes
34,no,travel_frequently,556.26,,1,,1,114,29,4,male,69.53,2,2,manufacturing director,3,married,4492.84,11681.39,1,y,no,17,3.0,3,parttime,0,10.0,2,2.0,10,,1,9,4492.84,1989,,,,no
51,no,travel_rarely,1288.65,,4,life sciences,1,115,8,2,male,161.08,2,3,research director,2,married,10408.33,27061.67,5,y,no,16,3.0,4,fulltime,2,16.0,5,1.0,10,,4,7,10408.33,1972,124900.0,,,no
34,no,,556.26,,4,life sciences,1,116,39,3,male,69.53,2,2,manufacturing director,1,,4492.84,11681.39,6,y,no,13,3.0,2,parttime,1,13.0,3,3.0,11,,5,9,4492.84,1989,53914.11,,,yes
35,no,travel_rarely,827.46,,3,,1,117,16,3,male,103.43,3,3,sales executive,2,married,6683.33,17376.67,0,y,no,15,3.0,3,parttime,2,12.0,3,2.0,11,,6,9,6683.33,1988,80200.0,,,yes
45,no,travel_frequently,1032.49,,3,life sciences,1,118,7,1,male,129.06,3,3,laboratory technician,1,,8339.32,21682.23,1,y,no,18,3.0,1,parttime,1,24.0,2,3.0,24,,9,11,8339.32,1978,100071.84,,,yes
39,no,,1760.98,,1,,1,119,10,3,male,220.12,3,4,manager,1,married,14223.33,36980.67,1,y,no,14,,4,fulltime,0,21.0,3,3.0,21,,11,10,,1984,170680.0,,,yes
31,no,,922.69,,2,,1,120,7,3,female,115.34,2,3,manufacturing director,3,married,7452.5,19376.5,1,y,no,24,4.0,1,parttime,1,10.0,2,3.0,10,,8,9,7452.5,1992,89430.0,,,no
